Hour,STREET1,STREET2,ROAD_CLASS,District,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_,PASSENGER,SPEEDING,AG_DRIV,ALCOHOL
23,STEELES AVE W,IRONDALE DR,Major Arterial,Etobicoke York, , ,No Control,Clear,Dark,Dry,0,SMV Other,Other Property Owner,unknown, ,Other, ,Unknown,Unknown,No,No,Yes,No,No,No,Yes,No,No,No
23,DUNDAS ST W,THE EAST MALL,Expressway,Etobicoke York,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,0,Cyclist Collisions,Cyclist,35 to 39,West,Bicycle,Changing Lanes,Unknown,Unknown,No,Yes,Yes,No,No,No,No,No,No,No
23,DUNDAS ST W,THE EAST MALL,Expressway,Etobicoke York,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,0,Cyclist Collisions,Driver,55 to 59,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,No,Yes,Yes,No,No,No,No,No,No,No
23,FINCH AVE W,TOBERMORY DR,Major Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,1,Turning Movement,Passenger,60 to 64, ,Other, ,Unknown,Unknown,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes
23,FINCH AVE W,TOBERMORY DR,Major Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,1,Turning Movement,Passenger,35 to 39, ,Other, ,Unknown,Unknown,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes
23,FINCH AVE W,TOBERMORY DR,Major Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,1,Turning Movement,Passenger,40 to 44, ,Other, ,Unknown,Unknown,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes
23,FINCH AVE W,TOBERMORY DR,Major Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,1,Turning Movement,Passenger,20 to 24, ,Other, ,Unknown,Unknown,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes
23,FINCH AVE W,TOBERMORY DR,Major Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,1,Turning Movement,Driver,40 to 44,East,"Automobile, Station Wagon",Turning Left,Driving Properly,Normal,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes
23,FINCH AVE W,TOBERMORY DR,Major Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,1,Turning Movement,Driver,20 to 24,West,"Automobile, Station Wagon",Going Ahead,Exceeding Speed Limit,"Ability Impaired, Alcohol",No,No,Yes,No,No,No,Yes,Yes,Yes,Yes
23,MCCOWAN Road,LAWRENCE Aven E,Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Rain,Dark,Wet,0,Pedestrian Collisions,Vehicle Owner,unknown, ,Other, ,Unknown,Unknown,Yes,No,Yes,No,No,No,No,No,Yes,No
23,MCCOWAN Road,LAWRENCE Aven E,Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Rain,Dark,Wet,0,Pedestrian Collisions,Driver,30 to 34,North,"Automobile, Station Wagon",Turning Left,Failed to Yield Right of Way,Normal,Yes,No,Yes,No,No,No,No,No,Yes,No
23,MCCOWAN Road,LAWRENCE Aven E,Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Rain,Dark,Wet,0,Pedestrian Collisions,Pedestrian,40 to 44,North,Other, ,Unknown,Unknown,Yes,No,Yes,No,No,No,No,No,Yes,No
23,DIXON RD,27 S DIXON W RAMP,Major Arterial,Etobicoke York,Mid-Block,Overpass or Bridge,No Control, ,Dark, ,1,Pedestrian Collisions,Pedestrian,60 to 64,North, , ,Unknown,Unknown,Yes,No,Yes,No,No,No,No,No,No,No
23,DIXON RD,27 S DIXON W RAMP,Major Arterial,Etobicoke York,Mid-Block,Overpass or Bridge,No Control, ,Dark, ,1,Pedestrian Collisions,Driver,25 to 29,West,"Automobile, Station Wagon",Going Ahead,Driving Properly,Unknown,Yes,No,Yes,No,No,No,No,No,No,No
23,1144 ROYAL YORK RD, ,Minor Arterial,Etobicoke York,Mid-Block, ,No Control,Clear,Dark,Dry,0,Pedestrian Collisions,Driver,60 to 64,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,Yes,No,Yes,No,No,No,No,No,No,No
23,1144 ROYAL YORK RD, ,Minor Arterial,Etobicoke York,Mid-Block, ,No Control,Clear,Dark,Dry,0,Pedestrian Collisions,Pedestrian,50 to 54,East,Other, ,Unknown,Unknown,Yes,No,Yes,No,No,No,No,No,No,No
23,EGLINTON AVE W,ENNERDALE RD,Major Arterial,Toronto and East York,Mid-Block, ,No Control,Rain,Dark,Wet,0,Rear End,Driver,40 to 44,East,"Automobile, Station Wagon",Parked,Driving Properly,Normal,No,No,Yes,No,No,No,No,Yes,Yes,No
23,EGLINTON AVE W,ENNERDALE RD,Major Arterial,Toronto and East York,Mid-Block, ,No Control,Rain,Dark,Wet,0,Rear End,Vehicle Owner,unknown, ,Other, ,Unknown,Unknown,No,No,Yes,No,No,No,No,Yes,Yes,No
23,EGLINTON AVE W,ENNERDALE RD,Major Arterial,Toronto and East York,Mid-Block, ,No Control,Rain,Dark,Wet,0,Rear End,Driver,35 to 39,East,"Automobile, Station Wagon",Going Ahead,Following too Close,Normal,No,No,Yes,No,No,No,No,Yes,Yes,No
23,EGLINTON AVE W,ENNERDALE RD,Major Arterial,Toronto and East York,Mid-Block, ,No Control,Rain,Dark,Wet,0,Rear End,Vehicle Owner,unknown, ,Other, ,Unknown,Unknown,No,No,Yes,No,No,No,No,Yes,Yes,No
23,LAKE SHORE BLVD W,REMEMBRANCE DR,Major Arterial,Toronto and East York,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,0,Pedestrian Collisions,Driver,35 to 39,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,Yes,No,Yes,No,No,No,Yes,No,No,No
23,LAKE SHORE BLVD W,REMEMBRANCE DR,Major Arterial,Toronto and East York,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,0,Pedestrian Collisions,Passenger,30 to 34, , , ,Unknown,Unknown,Yes,No,Yes,No,No,No,Yes,No,No,No
23,LAKE SHORE BLVD W,REMEMBRANCE DR,Major Arterial,Toronto and East York,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,0,Pedestrian Collisions,Pedestrian,30 to 34,Unknown, , ,Unknown,Unknown,Yes,No,Yes,No,No,No,Yes,No,No,No
23,WILSON AVE,MURRAY RD,Major Arterial,North York,Intersection,At Intersection,No Control,Clear,"Dark, artificial",Dry,1,Turning Movement,Motorcycle Driver,30 to 34,West,Motorcycle,Going Ahead,Exceeding Speed Limit,Unknown,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No
23,WILSON AVE,MURRAY RD,Major Arterial,North York,Intersection,At Intersection,No Control,Clear,"Dark, artificial",Dry,1,Turning Movement,Driver,50 to 54,East,"Automobile, Station Wagon",Turning Left,Driving Properly,Normal,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No
23,WILSON AVE,MURRAY RD,Major Arterial,North York,Intersection,At Intersection,No Control,Clear,"Dark, artificial",Dry,1,Turning Movement,Motorcycle Passenger,20 to 24, , , ,Unknown,Unknown,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No
23,BATHURST ST,MCALLISTER RD,Major Arterial,North York,Intersection, ,No Control,Clear,"Dark, artificial",Dry,0,Pedestrian Collisions,Passenger,25 to 29, ,Other, ,Unknown,Unknown,Yes,No,Yes,No,No,No,Yes,No,No,No
