iter	RMSE
0	9809.619934
1	9594.721621
2	9386.430052
3	9186.621944
4	8971.870314
5	8775.540755
6	8581.891835
7	8390.602353
8	8202.661216
9	8031.779539
10	7851.030144
11	7692.045788
12	7523.480408
13	7364.575409
14	7209.590311
15	7058.845209
16	6940.21297
17	6807.02819
18	6680.887229
19	6544.280759
20	6414.890825
21	6281.960886
22	6151.45743
23	6022.283358
24	5907.765387
25	5797.275824
26	5686.506702
27	5583.626968
28	5482.399711
29	5382.641619
30	5281.992796
31	5200.858186
32	5103.602922
33	5021.119935
34	4935.653717
35	4847.954632
36	4765.654805
37	4696.125219
38	4620.432425
39	4548.859022
40	4464.869184
41	4381.613033
42	4313.77807
43	4251.988416
44	4186.701213
45	4122.339264
46	4057.5625
47	4002.414095
48	3946.517726
49	3889.914946
50	3832.36318
51	3774.732727
52	3716.1389
53	3674.764331
54	3620.470734
55	3570.589979
56	3522.522696
57	3468.22861
58	3419.078374
59	3371.951883
60	3319.36043
61	3281.8588
62	3239.626114
63	3198.579269
64	3160.013288
65	3122.289535
66	3078.618194
67	3041.713605
68	3011.184506
69	2979.174981
70	2949.903881
71	2914.607096
72	2872.228091
73	2841.67748
74	2812.269002
75	2785.46158
76	2762.915853
77	2729.890911
78	2696.812971
79	2669.273168
80	2648.207685
81	2621.035962
82	2596.724322
83	2575.416584
84	2554.210565
85	2531.761208
86	2509.122807
87	2492.537167
88	2467.348098
89	2445.96907
90	2427.654865
91	2409.841454
92	2390.033171
93	2360.824528
94	2335.907365
95	2313.072199
96	2296.866664
97	2276.633634
98	2260.681745
99	2243.12449
100	2225.971976
101	2208.979069
102	2207.595252
103	2183.586095
104	2164.372504
105	2153.07827
106	2138.043743
107	2121.179581
108	2119.866197
109	2101.886837
110	2090.524251
111	2089.250942
112	2074.098453
113	2064.724994
114	2049.276139
115	2042.133249
116	2040.925405
117	2030.777224
118	2020.598651
119	2008.276422
120	1998.457064
121	1982.955104
122	1972.378636
123	1961.656587
124	1954.307839
125	1948.443561
126	1935.784591
127	1932.791281
128	1923.02433
129	1912.535711
130	1905.087179
131	1902.366571
132	1901.251347
133	1892.134934
134	1881.327885
135	1868.166867
136	1856.872387
137	1851.561964
138	1841.917673
139	1833.924783
140	1823.158844
141	1816.361926
142	1809.613874
143	1802.462758
144	1794.188593
145	1785.792365
146	1781.63478
147	1776.914948
148	1769.157977
149	1766.852333
150	1760.858026
151	1750.546547
152	1741.455586
153	1735.555301
154	1734.771771
155	1729.2176
156	1726.231501
157	1720.742199
158	1712.755296
159	1707.768372
160	1701.357471
161	1693.440397
162	1687.478578
163	1683.53131
164	1680.097749
165	1672.541905
166	1665.475645
167	1657.706517
168	1653.452947
169	1647.764294
170	1643.857036
171	1643.216788
172	1635.566007
173	1631.876843
174	1631.260623
175	1629.823457
176	1629.225014
177	1628.635455
178	1625.000952
179	1614.332775
180	1603.559281
181	1600.694505
182	1595.043715
183	1590.796792
184	1586.211844
185	1580.994866
186	1576.423497
187	1568.932024
188	1562.941756
189	1557.210783
190	1554.653989
191	1548.424761
192	1547.205489
193	1540.537975
194	1539.125381
195	1535.025625
196	1532.124839
197	1531.662893
198	1525.690398
199	1524.638295
200	1519.333093
201	1510.833418
202	1505.114013
203	1499.51331
204	1495.015372
205	1488.803373
206	1484.509429
207	1481.813815
208	1480.249541
209	1477.619895
210	1474.458467
211	1471.588734
212	1466.509971
213	1463.847476
214	1460.977993
215	1456.161269
216	1455.298705
217	1452.741608
218	1450.879244
219	1450.522689
220	1447.56252
221	1444.12814
222	1441.446853
223	1439.150435
224	1432.174714
225	1427.656019
226	1427.33011
227	1424.401357
228	1422.506519
229	1419.066582
230	1417.023609
231	1415.301922
232	1410.283197
233	1406.439106
234	1404.448174
235	1402.302631
236	1399.375065
237	1397.560989
238	1394.270388
239	1390.119033
240	1386.399119
241	1385.795823
242	1380.323011
243	1377.242738
244	1375.019274
245	1366.159821
246	1361.218726
247	1358.500481
248	1356.6273
249	1354.481115
250	1351.312737
251	1346.838273
252	1344.303711
253	1341.316336
254	1339.129203
255	1338.198029
256	1332.623081
257	1327.508228
258	1325.669331
259	1320.723306
260	1316.86309
261	1312.13952
262	1309.981654
263	1309.11956
264	1307.659482
265	1305.934069
266	1304.57934
267	1299.105127
268	1297.187941
269	1294.535635
270	1292.334036
271	1290.716666
272	1289.341919
273	1284.280187
274	1282.21593
275	1282.038423
276	1280.250289
277	1278.073583
278	1276.169191
279	1271.484651
280	1269.838155
281	1267.979635
282	1264.498144
283	1261.251766
284	1258.052464
285	1255.710626
286	1252.202223
287	1247.46848
288	1245.700723
289	1243.926893
290	1242.407378
291	1238.247905
292	1236.822162
293	1236.681881
294	1234.006296
295	1232.890821
296	1232.054192
297	1228.826454
298	1227.356972
299	1224.449221
300	1222.068949
301	1219.281209
302	1217.849226
303	1216.37865
304	1215.06479
305	1210.175942
306	1209.377798
307	1208.444098
308	1205.74601
309	1203.170293
310	1202.197148
311	1200.60361
312	1197.587619
313	1196.840281
314	1195.597882
315	1191.868233
316	1191.451712
317	1189.467765
318	1185.641191
319	1182.135572
320	1180.231098
321	1179.477293
322	1178.617583
323	1177.699114
324	1177.480932
325	1177.182576
326	1176.973617
327	1174.759411
328	1172.405295
329	1170.046442
330	1169.846125
331	1167.582709
332	1166.705017
333	1164.4937
334	1163.820248
335	1162.546405
336	1162.29502
337	1161.502744
338	1159.335042
339	1158.755782
340	1158.204395
341	1157.648991
342	1156.869127
343	1155.736992
344	1155.224585
345	1153.029533
346	1151.253437
347	1150.174807
348	1148.552733
349	1146.584779
350	1145.861032
351	1145.154692
352	1143.418107
353	1141.447749
354	1140.918355
355	1139.375591
356	1138.696454
357	1138.181426
358	1137.506804
359	1135.270178
360	1134.610549
361	1133.741166
362	1132.993909
363	1132.366653
364	1131.773058
365	1129.845718
366	1127.481921
367	1124.677902
368	1122.850296
369	1121.430647
370	1119.178251
371	1116.950296
372	1115.589081
373	1115.00083
374	1113.255736
375	1111.963779
376	1110.891155
377	1110.314847
378	1109.35848
379	1107.289769
380	1103.903164
381	1103.310997
382	1100.539111
383	1098.051831
384	1097.480953
385	1096.361399
386	1095.85824
387	1092.947617
388	1091.213764
389	1089.566536
390	1087.029841
391	1085.82498
392	1083.891596
393	1083.415424
394	1082.892861
395	1082.435764
396	1081.948182
