iter	Passed	Remaining
0	4	4276
1	7	3784
2	11	3678
3	14	3620
4	18	3615
5	21	3620
6	25	3602
7	29	3598
8	32	3603
9	36	3607
10	40	3601
11	43	3608
12	47	3609
13	51	3614
14	55	3617
15	58	3624
16	62	3622
17	66	3622
18	70	3616
19	73	3612
20	77	3610
21	81	3611
22	84	3606
23	88	3606
24	92	3611
25	96	3610
26	100	3610
27	104	3614
28	107	3613
29	111	3612
30	115	3614
31	119	3620
32	123	3622
33	127	3621
34	131	3625
35	135	3624
36	139	3623
37	142	3619
38	146	3619
39	150	3622
40	154	3623
41	158	3622
42	162	3618
43	166	3612
44	169	3607
45	173	3604
46	177	3604
47	181	3602
48	185	3602
49	189	3603
50	193	3599
51	197	3597
52	201	3593
53	205	3591
54	208	3587
55	212	3582
56	216	3579
57	220	3573
58	223	3568
59	227	3566
60	231	3569
61	235	3567
62	239	3564
63	243	3562
64	247	3560
65	251	3558
66	255	3553
67	259	3550
68	263	3548
69	266	3544
70	270	3542
71	274	3538
72	278	3535
73	282	3533
74	286	3531
75	290	3529
76	294	3527
77	298	3524
78	301	3520
79	306	3519
80	309	3515
81	313	3513
82	317	3511
83	322	3511
84	326	3510
85	329	3507
86	333	3504
87	338	3502
88	341	3500
89	345	3497
90	349	3494
91	353	3490
92	357	3487
93	361	3484
94	365	3480
95	369	3476
96	373	3472
97	376	3469
98	380	3465
99	384	3462
100	388	3459
101	392	3454
102	396	3449
103	399	3445
104	404	3443
105	407	3440
106	411	3434
107	415	3427
108	418	3422
109	422	3414
110	425	3407
111	428	3401
112	432	3394
113	435	3387
114	439	3379
115	442	3372
116	445	3364
117	449	3356
118	452	3352
119	456	3345
120	459	3338
121	462	3332
122	466	3325
123	469	3319
124	473	3314
125	476	3308
126	480	3303
127	484	3298
128	487	3293
129	491	3288
130	494	3282
131	498	3277
132	501	3272
133	505	3266
134	508	3260
135	512	3256
136	516	3251
137	519	3245
138	523	3240
139	526	3234
140	530	3229
141	533	3224
142	537	3219
143	540	3214
144	544	3209
145	547	3203
146	551	3197
147	554	3192
148	558	3187
149	561	3182
150	564	3176
151	568	3170
152	571	3165
153	575	3159
154	578	3154
155	582	3150
156	585	3145
157	589	3140
158	592	3135
159	596	3131
160	599	3125
161	603	3120
162	606	3115
163	610	3111
164	613	3106
165	615	3094
166	619	3089
167	622	3084
168	626	3078
169	629	3073
170	632	3068
171	636	3063
172	639	3059
173	643	3053
174	646	3049
175	650	3044
176	653	3039
177	657	3034
178	660	3030
179	664	3025
180	667	3021
181	671	3016
182	674	3012
183	678	3007
184	681	3003
185	685	2998
186	688	2993
187	691	2988
188	695	2984
189	698	2979
190	702	2974
191	705	2970
192	709	2965
193	712	2960
194	716	2956
195	719	2951
196	722	2946
197	726	2941
198	729	2937
199	733	2932
200	736	2927
201	739	2923
202	743	2918
203	746	2914
204	750	2910
205	753	2905
206	757	2900
207	760	2896
208	764	2891
209	767	2886
210	770	2882
211	774	2877
212	777	2873
213	781	2868
214	784	2864
215	788	2860
216	791	2856
217	794	2851
218	798	2846
219	801	2841
220	804	2836
221	808	2832
222	811	2827
223	815	2823
224	818	2818
225	821	2814
226	825	2810
227	828	2805
228	832	2801
229	835	2797
230	839	2793
231	842	2788
232	845	2783
233	849	2779
234	852	2774
235	855	2770
236	859	2766
237	862	2762
238	866	2757
239	869	2753
240	872	2748
241	876	2744
242	879	2740
243	883	2736
244	886	2732
245	890	2728
246	893	2724
247	897	2720
248	900	2716
249	903	2711
250	907	2707
251	910	2703
252	914	2699
253	917	2695
254	921	2691
255	924	2687
256	928	2683
257	931	2679
258	934	2674
259	938	2670
260	942	2667
261	945	2663
262	949	2659
263	952	2655
264	956	2651
265	959	2647
266	962	2643
267	966	2639
268	969	2634
269	972	2630
270	976	2626
271	979	2621
272	982	2617
273	986	2613
274	989	2609
275	993	2605
276	996	2601
277	1000	2597
278	1003	2593
279	1007	2589
280	1010	2585
281	1013	2581
282	1017	2576
283	1020	2572
284	1023	2568
285	1027	2564
286	1030	2559
287	1033	2555
288	1037	2551
289	1040	2547
290	1043	2543
291	1047	2539
292	1050	2535
293	1054	2531
294	1057	2527
295	1060	2523
296	1064	2519
297	1067	2515
298	1071	2511
299	1074	2507
300	1078	2503
301	1081	2499
302	1084	2495
303	1088	2491
304	1091	2487
305	1094	2483
306	1098	2478
307	1101	2475
308	1104	2471
309	1108	2466
310	1111	2462
311	1114	2458
312	1118	2454
313	1121	2450
314	1125	2446
315	1128	2442
316	1131	2438
317	1135	2434
318	1138	2430
319	1141	2426
320	1145	2422
321	1148	2418
322	1152	2414
323	1155	2410
324	1158	2406
325	1162	2402
326	1165	2398
327	1168	2394
328	1171	2390
329	1175	2386
330	1178	2382
331	1181	2378
332	1185	2374
333	1188	2370
334	1192	2366
335	1195	2362
336	1199	2359
337	1202	2355
338	1206	2351
339	1209	2347
340	1212	2343
341	1215	2339
342	1219	2335
343	1222	2331
344	1225	2327
345	1229	2323
346	1232	2319
347	1236	2315
348	1239	2311
349	1242	2307
350	1246	2304
351	1249	2300
352	1252	2296
353	1256	2292
354	1259	2288
355	1262	2284
356	1266	2280
357	1269	2276
358	1273	2272
359	1276	2268
360	1279	2265
361	1283	2261
362	1286	2257
363	1289	2253
364	1293	2249
365	1296	2245
366	1299	2241
367	1303	2237
368	1306	2234
369	1309	2230
370	1313	2226
371	1316	2223
372	1320	2218
373	1323	2214
374	1326	2210
375	1330	2207
376	1333	2203
377	1336	2199
378	1340	2195
379	1343	2192
380	1346	2188
381	1350	2184
382	1354	2181
383	1357	2177
384	1360	2173
385	1364	2170
386	1367	2166
387	1371	2163
388	1374	2159
389	1378	2155
390	1381	2151
391	1384	2148
392	1388	2144
393	1391	2140
394	1395	2137
395	1398	2133
396	1401	2129
397	1404	2125
398	1408	2121
399	1411	2117
400	1414	2113
401	1417	2109
402	1421	2105
403	1424	2101
404	1427	2097
405	1430	2093
406	1434	2089
407	1437	2085
408	1440	2081
409	1443	2077
410	1447	2073
411	1450	2069
412	1453	2066
413	1456	2062
414	1460	2058
415	1463	2054
416	1466	2050
417	1470	2047
418	1473	2043
419	1477	2039
420	1480	2036
421	1483	2032
422	1487	2029
423	1491	2025
424	1494	2021
425	1497	2017
426	1500	2014
427	1504	2010
428	1507	2006
429	1510	2002
430	1513	1998
431	1516	1994
432	1520	1990
433	1523	1986
434	1526	1982
435	1529	1979
436	1533	1975
437	1536	1971
438	1539	1967
439	1543	1963
440	1546	1960
441	1549	1956
442	1552	1952
443	1556	1948
444	1559	1944
445	1562	1941
446	1565	1937
447	1569	1933
448	1572	1929
449	1575	1925
450	1578	1922
451	1582	1918
452	1585	1914
453	1588	1910
454	1592	1907
455	1595	1903
456	1598	1899
457	1602	1896
458	1605	1892
459	1608	1888
460	1612	1885
461	1615	1881
462	1619	1878
463	1622	1874
464	1626	1870
465	1629	1867
466	1633	1864
467	1637	1860
468	1640	1857
469	1644	1853
470	1647	1850
471	1650	1846
472	1654	1842
473	1657	1839
474	1660	1835
475	1664	1832
476	1667	1828
477	1671	1824
478	1674	1821
479	1677	1817
480	1681	1814
481	1684	1810
482	1687	1806
483	1691	1803
484	1694	1799
485	1697	1795
486	1701	1791
487	1704	1788
488	1707	1784
489	1711	1781
490	1714	1777
491	1717	1773
492	1721	1770
493	1724	1766
494	1728	1762
495	1731	1759
496	1734	1755
497	1738	1752
498	1741	1748
499	1744	1744
500	1748	1741
501	1751	1737
502	1754	1733
503	1758	1730
504	1761	1726
505	1764	1722
506	1768	1719
507	1771	1715
508	1774	1711
509	1777	1708
510	1781	1704
511	1784	1700
512	1787	1697
513	1791	1693
514	1794	1690
515	1797	1686
516	1801	1682
517	1804	1679
518	1807	1675
519	1811	1671
520	1814	1668
521	1817	1664
522	1821	1661
523	1824	1657
524	1827	1653
525	1831	1650
526	1834	1646
527	1837	1642
528	1841	1639
529	1844	1635
530	1847	1632
531	1851	1628
532	1854	1624
533	1857	1621
534	1861	1617
535	1864	1614
536	1868	1610
537	1871	1606
538	1874	1603
539	1877	1599
540	1881	1596
541	1884	1592
542	1888	1589
543	1891	1585
544	1894	1581
545	1897	1578
546	1901	1574
547	1904	1570
548	1907	1567
549	1910	1563
550	1914	1559
551	1917	1556
552	1920	1552
553	1923	1548
554	1927	1545
555	1930	1541
556	1934	1538
557	1937	1534
558	1940	1531
559	1943	1527
560	1947	1523
561	1950	1519
562	1952	1515
563	1955	1511
564	1958	1508
565	1962	1504
566	1965	1500
567	1968	1497
568	1971	1493
569	1975	1490
570	1978	1486
571	1981	1482
572	1984	1479
573	1988	1475
574	1991	1472
575	1994	1468
576	1998	1464
577	2001	1461
578	2004	1457
579	2007	1453
580	2010	1450
581	2014	1446
582	2017	1442
583	2020	1439
584	2023	1435
585	2026	1431
586	2030	1428
587	2032	1423
588	2035	1420
589	2038	1416
590	2041	1413
591	2045	1409
592	2048	1405
593	2051	1402
594	2054	1398
595	2058	1395
596	2061	1391
597	2064	1387
598	2067	1384
599	2071	1380
600	2074	1377
601	2077	1373
602	2080	1370
603	2084	1366
604	2087	1362
605	2090	1359
606	2093	1355
607	2097	1352
608	2100	1348
609	2103	1344
610	2106	1341
611	2110	1337
612	2113	1334
613	2116	1330
614	2119	1327
615	2123	1323
616	2126	1319
617	2129	1316
618	2133	1312
619	2136	1309
620	2139	1305
621	2142	1302
622	2146	1298
623	2149	1295
624	2152	1291
625	2155	1288
626	2159	1284
627	2162	1280
628	2165	1277
629	2168	1273
630	2172	1270
631	2175	1266
632	2178	1263
633	2181	1259
634	2185	1256
635	2188	1252
636	2191	1248
637	2195	1245
638	2198	1241
639	2201	1238
640	2204	1234
641	2207	1231
642	2211	1227
643	2214	1224
644	2217	1220
645	2220	1217
646	2224	1213
647	2227	1209
648	2230	1206
649	2233	1202
650	2237	1199
651	2240	1195
652	2243	1192
653	2246	1188
654	2250	1185
655	2253	1181
656	2256	1178
657	2260	1174
658	2263	1171
659	2266	1167
660	2269	1164
661	2272	1160
662	2276	1156
663	2279	1153
664	2282	1149
665	2286	1146
666	2289	1142
667	2292	1139
668	2295	1135
669	2299	1132
670	2302	1128
671	2305	1125
672	2309	1122
673	2312	1118
674	2315	1114
675	2319	1111
676	2322	1107
677	2325	1104
678	2328	1100
679	2332	1097
680	2335	1094
681	2338	1090
682	2341	1086
683	2345	1083
684	2348	1080
685	2351	1076
686	2355	1073
687	2358	1069
688	2361	1065
689	2364	1062
690	2368	1058
691	2371	1055
692	2374	1052
693	2378	1048
694	2381	1045
695	2385	1041
696	2388	1038
697	2391	1034
698	2394	1031
699	2398	1027
700	2401	1024
701	2404	1020
702	2407	1017
703	2411	1013
704	2414	1010
705	2417	1006
706	2420	1003
707	2424	999
708	2427	996
709	2430	992
710	2433	989
711	2437	985
712	2440	982
713	2443	978
714	2447	975
715	2451	972
716	2454	968
717	2458	965
718	2461	961
719	2464	958
720	2467	954
721	2471	951
722	2474	947
723	2477	944
724	2480	941
725	2484	937
726	2487	934
727	2490	930
728	2493	927
729	2497	923
730	2500	920
731	2503	916
732	2507	913
733	2511	910
734	2514	906
735	2518	903
736	2522	899
737	2525	896
738	2528	893
739	2532	889
740	2535	886
741	2539	882
742	2542	879
743	2546	876
744	2549	872
745	2553	869
746	2557	866
747	2560	862
748	2564	859
749	2567	855
750	2571	852
751	2574	849
752	2578	845
753	2581	842
754	2585	838
755	2588	835
756	2592	832
757	2595	828
758	2599	825
759	2602	821
760	2606	818
761	2609	815
762	2613	811
763	2616	808
764	2620	804
765	2623	801
766	2627	798
767	2630	794
768	2634	791
769	2637	787
770	2641	784
771	2644	781
772	2648	777
773	2651	774
774	2655	770
775	2658	767
776	2662	764
777	2665	760
778	2669	757
779	2673	753
780	2676	750
781	2680	747
782	2683	743
783	2687	740
784	2691	737
785	2694	733
786	2698	730
787	2701	726
788	2705	723
789	2708	720
790	2712	716
791	2715	713
792	2719	709
