instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
1,1/1/2011,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0,16
2,1/1/2011,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0,40
3,1/1/2011,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0,32
4,1/1/2011,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0,13
5,1/1/2011,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0,1
6,1/1/2011,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,1
7,1/1/2011,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0,2
8,1/1/2011,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0,3
9,1/1/2011,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0,8
10,1/1/2011,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0,14
11,1/1/2011,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,36
12,1/1/2011,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,56
13,1/1/2011,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,84
14,1/1/2011,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,94
15,1/1/2011,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,106
16,1/1/2011,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,110
17,1/1/2011,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,93
18,1/1/2011,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,67
19,1/1/2011,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,35
20,1/1/2011,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,37
21,1/1/2011,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,36
22,1/1/2011,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,34
23,1/1/2011,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,28
24,1/1/2011,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,39
25,1/2/2011,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,17
26,1/2/2011,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,17
27,1/2/2011,1,0,1,2,0,0,0,2,0.42,0.4242,1,0.2836,9
28,1/2/2011,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,6
29,1/2/2011,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,3
30,1/2/2011,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,2
31,1/2/2011,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,1
32,1/2/2011,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,8
33,1/2/2011,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,20
34,1/2/2011,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,53
35,1/2/2011,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,70
36,1/2/2011,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,93
37,1/2/2011,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,75
38,1/2/2011,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,59
39,1/2/2011,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,74
40,1/2/2011,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,76
41,1/2/2011,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,65
42,1/2/2011,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,53
43,1/2/2011,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,30
44,1/2/2011,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,22
45,1/2/2011,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,31
46,1/2/2011,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,9
47,1/2/2011,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,8
48,1/3/2011,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,5
49,1/3/2011,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,2
50,1/3/2011,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,1
51,1/3/2011,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,3
52,1/3/2011,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,30
53,1/3/2011,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,64
54,1/3/2011,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,154
55,1/3/2011,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,88
56,1/3/2011,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,44
57,1/3/2011,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,51
58,1/3/2011,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,61
59,1/3/2011,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,61
60,1/3/2011,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,77
61,1/3/2011,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,72
62,1/3/2011,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,76
63,1/3/2011,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,157
64,1/3/2011,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,157
65,1/3/2011,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0,110
66,1/3/2011,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,52
67,1/3/2011,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,52
68,1/3/2011,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,20
69,1/3/2011,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,12
70,1/4/2011,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,5
71,1/4/2011,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,2
72,1/4/2011,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,1
73,1/4/2011,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,2
74,1/4/2011,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,4
75,1/4/2011,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,36
76,1/4/2011,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,94
77,1/4/2011,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,179
78,1/4/2011,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,100
79,1/4/2011,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,42
80,1/4/2011,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,57
81,1/4/2011,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,78
82,1/4/2011,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,97
83,1/4/2011,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,63
84,1/4/2011,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,65
85,1/4/2011,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,83
86,1/4/2011,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,212
87,1/4/2011,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,182
88,1/4/2011,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,112
89,1/4/2011,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,54
90,1/4/2011,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0,48
91,1/4/2011,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,35
92,1/4/2011,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,11
93,1/5/2011,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0,6
94,1/5/2011,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,6
95,1/5/2011,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,2
96,1/5/2011,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,2
97,1/5/2011,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,3
98,1/5/2011,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,33
