FISCAL_YEAR,FISCAL_PERIOD,DEPT_NAME,DIV_NAME,MERCHANT,CAT_DESCR,TRANS_DT,MERCHANDISE_AMT
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,DOUBLETREE HOTELS WASHING,LODGING,6/3/2014,-5.5
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HYATT REGENCY NW ORLE F/B,EATING PLACES RESTAURANTS,6/26/2014,18.31
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HYATT REGENCY NW ORLE F/B,EATING PLACES RESTAURANTS,6/26/2014,21.61
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HYATT REGENCY NW ORLE F/B,EATING PLACES RESTAURANTS,6/26/2014,22.39
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HYATT REGENCY NW ORLE F/B,EATING PLACES RESTAURANTS,6/26/2014,5.44
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,SHERATON DOLPHIN DINING,EATING PLACES RESTAURANTS,6/26/2014,17.17
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,TAPAS ON MAIN,EATING PLACES RESTAURANTS,6/26/2014,32.67
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,TAPAS ON MAIN,EATING PLACES RESTAURANTS,6/26/2014,32.89
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,USAIRWAYS 0372363267867,AIRLINE,6/26/2014,25
2015,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,MTC INC,EATING PLACES RESTAURANTS,6/27/2014,12.33
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,AMAZON.COM,BOOK STORES,6/27/2014,179
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,AMAZON.COM,BOOK STORES,6/27/2014,179
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,BOS TAXI 1632,TRAVEL,6/27/2014,30.3
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,BRENNAN'S OFFICE INTER,OFFICE AND COMMERCIAL FURNITURE,6/27/2014,240
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,C6 STARBUCKS B21631510,FAST FOOD RESTAURANTS,6/27/2014,10.21
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,CAFE BEIGNET I,EATING PLACES RESTAURANTS,6/27/2014,7.99
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,GLOBE,EATING PLACES RESTAURANTS,6/27/2014,12
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HISTORIC HOTEL BETHLEH,LODGING,6/27/2014,35
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HISTORIC HOTEL BETHLEH,LODGING,6/27/2014,696.6
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HISTORIC HOTEL BETHLEH,LODGING,6/27/2014,698.7
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MAMA MELROSE'S RIST,EATING PLACES RESTAURANTS,6/27/2014,23.65
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,PMI BWI AIRPORT PARKNG,AUTOMOBILE PARKING LOTS AND GARAGES,6/27/2014,36
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,SHERATON DOLPHIN DINING,EATING PLACES RESTAURANTS,6/27/2014,15.57
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,STAPLS7120127157000001,STATIONERY-OFFICE SUPPLIES-PRINTING WRITING PAP,6/27/2014,369.92
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,SUBWAY 00334268,FAST FOOD RESTAURANTS,6/27/2014,12.02
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,USAIRWAYS 0372363399881,AIRLINE,6/27/2014,25
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,VZWRLSS*MY VZ VB P,TELECOM INCL PREPAID-RECURRING PHONE SVCS,6/27/2014,1035.32
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,WHOLESALE JANITOR,INDUSTRIAL SUPPLIES NOT ELSEWHERE CLASSIFIED,6/27/2014,1999
2015,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,MARRIOTT 337J4 SAN RC F/B,LODGING,6/27/2014,10.28
2015,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,MARRIOTT 337J4 SAN RC F/B,LODGING,6/27/2014,20.85
2015,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,SHERATON DOLPHIN DINING,EATING PLACES RESTAURANTS,6/27/2014,12.88
2015,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,TOWER AMERICAS REST,EATING PLACES RESTAURANTS,6/27/2014,30.41
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,AMERICAN AI 0010269330166,AIRLINE,6/28/2014,25
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,CALIFORNIA PIZZA 049,EATING PLACES RESTAURANTS,6/28/2014,21.88
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,CHICK-FIL-A #00238,FAST FOOD RESTAURANTS,6/28/2014,6.79
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,COLUMBIA HARBOR HOU,FAST FOOD RESTAURANTS,6/28/2014,17.23
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HYATT REGENCY NEW ORLEAN,LODGING,6/28/2014,145.28
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HYATT REGENCY NEW ORLEAN,LODGING,6/28/2014,4.36
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HYATT REGENCY NEW ORLEAN,LODGING,6/28/2014,466.86
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HYATT REGENCY NEW ORLEAN,LODGING,6/28/2014,510.9
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HYATT REGENCY NEW ORLEAN,LODGING,6/28/2014,9.95
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MAX LAGERS,EATING PLACES RESTAURANTS,6/28/2014,12.8
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,SHERATON DOLPHIN DINING,EATING PLACES RESTAURANTS,6/28/2014,21.1
2015,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,AMERICAN AI 0010652996201,AIRLINE,6/28/2014,75
2015,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,ESPN SPORTS CLUB,EATING PLACES RESTAURANTS,6/28/2014,19.58
2015,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,MARRIOTT 337J4 SAN RC F/B,LODGING,6/28/2014,4.87
2015,1,DEPT OF EDUCATION,SPECIAL NEEDS PROGRAMS,GUAVA AND JAVA,FAST FOOD RESTAURANTS,6/28/2014,5.3
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,DURANGOS STEAKHOUSE,EATING PLACES RESTAURANTS,6/29/2014,42
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,LEGAL SEA FOODS #016,EATING PLACES RESTAURANTS,6/29/2014,32.76
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,LEGAL SEA FOODS #016,EATING PLACES RESTAURANTS,6/29/2014,34
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MARRIOTT 33787 COPLEY F AND B,LODGING,6/29/2014,7.43
