Carat Weight,Cut,Color,Clarity,Polish,Symmetry,Report,Price
1.1,Ideal,H,SI1,VG,EX,GIA,5169
0.83,Ideal,H,VS1,ID,ID,AGSL,3470
0.85,Ideal,H,SI1,EX,EX,GIA,3183
0.91,Ideal,E,SI1,VG,VG,GIA,4370
0.83,Ideal,G,SI1,EX,EX,GIA,3171
1.53,Ideal,E,SI1,ID,ID,AGSL,12791
1,Very Good,D,SI1,VG,G,GIA,5747
1.5,Fair,F,SI1,VG,VG,GIA,10450
2.11,Ideal,H,SI1,VG,VG,GIA,18609
1.05,Very Good,E,VS1,VG,G,GIA,7666
0.91,Ideal,D,VS2,VG,VG,GIA,6224
1.01,Good,E,SI1,G,G,GIA,5161
0.92,Good,I,VS2,VG,VG,GIA,3679
2.51,Very Good,G,VS2,VG,VG,GIA,34361
1.5,Very Good,F,SI1,VG,VG,GIA,11004
2.2,Ideal,H,VS2,EX,VG,GIA,22241
1.52,Ideal,D,VS1,EX,EX,GIA,17659
1.28,Very Good,I,VS1,EX,VG,GIA,6726
1.01,Good,I,SI1,VG,VG,GIA,4238
0.9,Very Good,F,SI1,VG,EX,GIA,3624
2.6,Ideal,G,VS2,EX,EX,GIA,37621
0.8,Very Good,F,VS1,EX,G,GIA,3559
1.07,Very Good,G,SI1,G,G,GIA,4829
2.02,Good,I,VVS2,EX,VG,GIA,19756
2.16,Ideal,F,VVS1,ID,ID,AGSL,44121
2.03,Good,G,VS1,VG,VG,GIA,23726
2.02,Very Good,I,SI1,G,G,GIA,14839
1.01,Very Good,F,SI1,EX,EX,GIA,5010
2.41,Very Good,H,VS2,EX,EX,GIA,27337
0.9,Good,H,SI1,VG,G,GIA,3485
0.92,Ideal,G,SI1,G,VG,GIA,4025
1.01,Ideal,E,VVS2,EX,EX,GIA,9735
2.04,Very Good,D,VVS1,VG,VG,GIA,41867
1.56,Ideal,G,VS1,EX,EX,GIA,14957
0.77,Signature-Ideal,F,SI1,EX,EX,GIA,3321
2.01,Very Good,I,VS1,VG,VG,GIA,18023
2.05,Very Good,H,VS2,VG,VG,GIA,19976
1.01,Very Good,F,VS2,VG,VG,GIA,6257
1.01,Very Good,E,SI1,EX,EX,GIA,5534
0.86,Ideal,E,SI1,EX,EX,GIA,4228
1.01,Good,G,SI1,VG,G,GIA,4905
2.29,Very Good,F,VS1,EX,VG,GIA,34657
1.28,Ideal,G,VVS2,ID,ID,AGSL,10958
2.12,Ideal,F,VS1,EX,EX,GIA,33667
0.9,Ideal,E,SI1,VG,VG,GIA,4921
1.44,Ideal,D,SI1,G,G,GIA,10768
2.28,Ideal,D,IF,VG,EX,GIA,73209
1.01,Signature-Ideal,D,VVS2,ID,ID,AGSL,12996
2.29,Ideal,G,VS2,VG,VG,GIA,27097
0.8,Ideal,D,VS2,VG,EX,GIA,3817
1.06,Signature-Ideal,G,VVS2,ID,ID,AGSL,9645
1.62,Ideal,F,VS2,EX,EX,GIA,18281
0.83,Ideal,E,SI1,EX,EX,GIA,4024
1.58,Ideal,G,VVS2,VG,VG,GIA,16625
0.91,Very Good,F,SI1,EX,VG,GIA,4546
1.01,Fair,D,SI1,VG,G,GIA,5628
1.13,Ideal,G,VVS1,EX,EX,GIA,9653
2,Good,I,SI1,EX,VG,GIA,14321
0.83,Very Good,H,VS2,VG,VG,GIA,3249
0.92,Very Good,E,SI1,VG,VG,GIA,4286
1.25,Ideal,G,VVS2,VG,VG,GIA,11089
1.23,Signature-Ideal,G,VS1,EX,EX,GIA,10859
1.51,Good,E,SI1,EX,EX,GIA,12487
1.21,Signature-Ideal,E,VS1,EX,EX,GIA,12111
1.02,Very Good,D,SI1,G,VG,GIA,6001
0.75,Very Good,F,SI1,VG,VG,GIA,2734
0.78,Very Good,I,VS1,VG,VG,GIA,2694
2.02,Ideal,E,VS1,VG,G,GIA,32060
0.9,Good,E,SI1,VG,G,GIA,4147
1.01,Ideal,F,VS1,EX,EX,GIA,8860
1.02,Ideal,G,VS2,EX,EX,GIA,6264
1.14,Very Good,H,VS2,VG,G,GIA,5640
1.5,Very Good,G,SI1,VG,VG,GIA,10019
1.3,Very Good,H,SI1,VG,G,GIA,7018
1.01,Very Good,D,IF,VG,VG,GIA,18187
2.17,Ideal,G,VS1,EX,EX,GIA,30156
0.9,Ideal,G,SI1,EX,EX,GIA,4260
1,Good,H,SI1,VG,VG,GIA,4864
2.24,Ideal,E,VS1,EX,EX,GIA,40445
1.59,Ideal,H,VS1,EX,EX,GIA,13839
1.02,Ideal,H,VS1,VG,VG,GIA,5835
1.02,Very Good,H,SI1,VG,VG,GIA,4932
2.1,Signature-Ideal,F,SI1,ID,ID,AGSL,26278
0.91,Fair,F,SI1,VG,G,GIA,4036
1.62,Very Good,F,SI1,EX,VG,GIA,12202
1.1,Ideal,H,VS2,VG,VG,GIA,6387
0.91,Very Good,F,SI1,VG,EX,GIA,4188
1.2,Good,I,VS1,VG,VG,GIA,5818
0.9,Very Good,E,SI1,EX,EX,GIA,4442
1.04,Very Good,F,SI1,G,EX,GIA,5369
1.66,Ideal,H,VS1,EX,EX,GIA,13330
0.77,Very Good,D,VS1,EX,EX,GIA,3643
1.63,Very Good,I,SI1,G,G,GIA,9199
1.32,Ideal,E,SI1,VG,VG,GIA,8014
1.71,Very Good,F,VS1,VG,VG,GIA,17768
1.02,Ideal,E,SI1,VG,VG,GIA,5590
1.04,Ideal,G,VS2,EX,EX,GIA,6809
1.01,Ideal,F,VS2,EX,EX,GIA,7411
1.2,Very Good,E,VS2,VG,EX,GIA,9320
2,Good,I,VS2,VG,VG,GIA,15438
1.01,Very Good,I,SI1,EX,EX,GIA,4133
1,Very Good,E,VVS2,EX,VG,GIA,8638
0.9,Ideal,I,SI1,VG,VG,GIA,3455
1.38,Ideal,G,VVS1,EX,VG,GIA,12684
1,Very Good,I,VS2,EX,VG,GIA,4739
1.13,Very Good,F,VVS2,VG,VG,GIA,9947
0.79,Ideal,I,VS1,EX,EX,GIA,2888
1.54,Ideal,I,VS2,ID,ID,AGSL,9998
0.81,Very Good,I,SI1,VG,VG,GIA,2701
1.15,Ideal,F,VVS2,VG,VG,GIA,10555
1.51,Very Good,F,VS2,EX,VG,GIA,13324
1.2,Ideal,I,SI1,EX,VG,GIA,5476
1.1,Very Good,H,SI1,VG,G,GIA,5276
1.31,Very Good,I,VS1,VG,VG,GIA,6885
1.03,Ideal,G,VS2,EX,EX,GIA,6981
1.1,Very Good,I,SI1,G,EX,GIA,4545
1.01,Very Good,F,VVS1,EX,EX,GIA,9782
1.01,Very Good,E,SI1,VG,VG,GIA,5224
1.01,Very Good,F,VS2,EX,EX,GIA,6714
1.57,Ideal,G,VS2,EX,EX,GIA,14283
1.01,Good,H,SI1,EX,EX,GIA,4563
1,Ideal,E,VS2,EX,EX,GIA,7370
1.21,Very Good,D,SI1,VG,EX,GIA,7597
0.93,Very Good,E,VS2,G,VG,GIA,5140
1.78,Very Good,D,VS2,VG,G,GIA,16697
2.25,Ideal,E,VS2,EX,EX,GIA,32691
0.93,Very Good,D,VS1,VG,VG,GIA,5862
0.9,Very Good,H,VS2,G,G,GIA,4064
1.01,Very Good,H,SI1,EX,VG,GIA,4682
1.14,Good,H,SI1,VG,VG,GIA,5487
1.05,Very Good,G,VS1,EX,VG,GIA,7010
1.6,Ideal,G,VS2,ID,ID,AGSL,15000
1.01,Good,E,SI1,VG,VG,GIA,4989
1.01,Fair,D,SI1,EX,G,GIA,5122
0.75,Very Good,F,VVS2,G,G,GIA,3551
1.01,Very Good,D,SI1,VG,VG,GIA,5731
2.03,Very Good,I,SI1,VG,EX,GIA,15101
0.83,Good,E,SI1,EX,VG,GIA,3422
1.02,Very Good,E,VS2,VG,VG,GIA,6366
2.12,Ideal,H,VS2,ID,ID,AGSL,21846
2.04,Ideal,I,SI1,EX,EX,GIA,16718
0.75,Ideal,I,VVS2,ID,ID,AGSL,2782
2.17,Ideal,F,SI1,VG,EX,GIA,22930
