Usage Date,Usage Amount
4/10/2021,4.96
4/11/2021,5.48
4/12/2021,5.19
4/13/2021,6.96
4/14/2021,6.53
4/15/2021,7.55
4/16/2021,7.56
4/17/2021,6.94
4/18/2021,6.81
4/19/2021,6.21
4/20/2021,7.63
4/21/2021,7.33
4/22/2021,6.37
4/23/2021,5.78
4/24/2021,5.64
4/25/2021,5.66
4/26/2021,5.74
4/27/2021,5.46
4/28/2021,5.6
4/29/2021,7.72
4/30/2021,6.95
5/1/2021,6.09
5/2/2021,6.61
5/3/2021,6.42
5/4/2021,7.53
5/5/2021,5.2
5/6/2021,5.16
5/7/2021,5.14
5/8/2021,5.31
5/9/2021,6.8
5/10/2021,5.95
5/11/2021,5.67
5/12/2021,5.54
5/13/2021,6.99
5/14/2021,6.11
5/15/2021,6.47
5/16/2021,7
5/17/2021,7.4
5/18/2021,6.82
5/19/2021,7.57
5/20/2021,8.28
5/21/2021,7.63
5/22/2021,10.62
5/23/2021,10.23
5/24/2021,10.82
5/25/2021,12.07
5/26/2021,10.07
5/27/2021,11.33
5/28/2021,6.26
5/29/2021,6.12
5/30/2021,5.15
5/31/2021,5.89
6/1/2021,7.39
6/2/2021,5.78
6/3/2021,5.27
6/4/2021,7.23
6/5/2021,8.15
6/6/2021,11.55
6/7/2021,8.91
6/8/2021,9.64
6/9/2021,8.24
6/10/2021,8.54
6/11/2021,7.85
6/12/2021,8.14
6/13/2021,9.54
6/14/2021,10.51
6/15/2021,10.43
6/16/2021,11.11
6/17/2021,8.96
6/18/2021,9.49
6/19/2021,10.57
6/20/2021,10.49
6/21/2021,9.97
6/22/2021,9.45
6/23/2021,10.71
6/24/2021,10.08
6/25/2021,9.89
6/26/2021,10.93
6/27/2021,10.46
6/28/2021,11.97
6/29/2021,12.12
6/30/2021,10.91
7/1/2021,9.57
7/2/2021,9.66
7/3/2021,9.18
7/4/2021,11.01
7/5/2021,10.01
7/6/2021,10.4
7/7/2021,12.32
7/8/2021,10.76
7/9/2021,10.38
7/10/2021,10.3
7/11/2021,11.16
7/12/2021,9.44
7/13/2021,9.52
7/14/2021,9.66
7/15/2021,10.13
7/16/2021,9.99
7/17/2021,10.67
7/18/2021,10.9
7/19/2021,10.09
7/20/2021,10.07
7/21/2021,10.13
7/22/2021,10.39
7/23/2021,10.36
7/24/2021,11.32
7/25/2021,7.89
7/26/2021,6.33
7/27/2021,6.39
7/28/2021,6.29
7/29/2021,7.15
7/30/2021,9.17
7/31/2021,9.65
8/1/2021,9.65
8/2/2021,10.77
8/3/2021,10.85
8/4/2021,9.76
8/5/2021,10.37
8/6/2021,11.14
8/7/2021,10.15
8/8/2021,11.59
8/9/2021,11.82
8/10/2021,10.92
8/11/2021,10.48
8/12/2021,10.72
8/13/2021,9.9
8/14/2021,11.16
8/15/2021,9.1
8/16/2021,10.85
8/17/2021,11.83
8/18/2021,10.94
8/19/2021,9.5
8/20/2021,10.26
8/21/2021,10.56
8/22/2021,10.64
8/23/2021,10.24
8/24/2021,10.99
8/25/2021,11.37
8/26/2021,11.29
8/27/2021,9.99
8/28/2021,9.65
8/29/2021,12.29
8/30/2021,11.42
8/31/2021,10.38
9/1/2021,10.64
9/2/2021,9.5
9/3/2021,10.64
9/4/2021,9.26
9/6/2021,21.26
9/7/2021,10.13
9/8/2021,9.57
