Agent_ID,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,Site,Function_Field,tenure,Total number of calls,Assistance,Recommend,CSat,total coaching,total coaching improved,Actual Value,FCR Week before
384091,100,90,90,96.14583333,100,96.875,100,Kuala Lumpur,Agent,33,163,95.0617284,94.23076923,4.865030675,0,0,85.71,97.14
369185,94,100,96.86552808,96.86552808,96.1038961,95.89041096,98.33333333,Kuala Lumpur,Agent,33,306,95.08196721,94.66666667,4.830065359,0,0,100,88.64
360854,94.44444444,80,92.93602694,92.93602694,100,93.93939394,96.2962963,Kuala Lumpur,Agent,32,138,94.16058394,94.73684211,4.81884058,2,1,80,92.31
374407,100,95,96.63043478,96.63043478,92.5,95.65217391,100,Kuala Lumpur,Agent,32,148,98.64864865,95.83333333,4.844594595,0,0,94.44,100
372496,96.875,95.83333333,94.27810078,94.27810078,83.33333333,95.34883721,100,Kuala Lumpur,Agent,29,142,97.18309859,98.55072464,4.85915493,0,0,100,90.91
375859,95.55555556,97.36842105,93.93939394,97.2972973,96.43997671,98.03921569,96.43997671,Kuala Lumpur,Agent,29,204,96.0199005,93.84615385,4.81372549,0,0,100,96.88
382193,96.15384615,93.33333333,94.44444444,100,98.30508475,94.44444444,96.2962963,Kuala Lumpur,Agent,27,274,94.7761194,96.16858238,4.784671533,2,2,93.33,96.43
377678,100,100,92.85714286,96.08411741,92.30769231,94.11764706,97.22222222,Kuala Lumpur,Agent,26,185,95.5801105,95.50561798,4.72972973,1,0,100,100
385472,93.5483871,92.85714286,94.5726486,94.5726486,93.10344828,95.91836735,97.43589744,Kuala Lumpur,Agent,25,303,94.68438538,92.4137931,4.732673267,1,1,94.12,100
363838,93.93939394,94.44444444,95.67676768,95.67676768,100,90,100,Kuala Lumpur,Agent,25,135,99.12280702,97.2972973,4.784482759,0,0,100,93.75
384994,92.30769231,83.33333333,97.87234043,93.99204616,97.36842105,96.2962963,96.77419355,Kuala Lumpur,Agent,24,228,97.80701754,95.04504505,4.850877193,1,0,100,87.5
369496,100,0,100,94.11764706,95.65217391,80,95.65217391,Kuala Lumpur,Agent,21,111,96.36363636,94.39252336,4.657657658,3,2,100,100
365416,89.70588235,94.28571429,93.85189076,93.85189076,90.625,100,94.64285714,Kuala Lumpur,Agent,21,314,94.85530547,96.03960396,4.808917197,4,2,89.19,92.31
378217,100,92.30769231,100,100,97.66153846,96,97.66153846,Kuala Lumpur,Agent,21,120,95.79831933,95.68965517,4.783333333,0,0,100,97.37
363582,95,100,100,100,95.83333333,100,95.65217391,Kuala Lumpur,Agent,21,102,93.1372549,95.95959596,4.696078431,0,0,92.86,100
384261,100,95.83333333,97.1397272,97.1397272,94,97.82608696,98.03921569,Kuala Lumpur,Agent,20,237,93.67088608,96.98275862,4.725738397,2,2,96.3,96.15
387748,100,100,93.59354414,90.90909091,75,95.65217391,100,Kuala Lumpur,Agent,20,92,94.50549451,98.7804878,4.826086957,1,0,100,94.12
383094,100,93.5483871,96.99539171,96.99539171,96.42857143,100,95,Kuala Lumpur,Agent,20,224,96.41255605,97.68518519,4.754464286,2,2,100,100
381695,96.8,100,96.8,100,100,96,88,Kuala Lumpur,Agent,20,116,97.32142857,98.11320755,4.74137931,4,4,100,100
388431,97.61904762,95.65217391,94.11764706,100,100,96.66666667,96.42857143,Kuala Lumpur,Agent,19,220,96.34703196,97.11538462,4.931818182,1,0,100,96.43
377665,100,87.5,93.5483871,94.44312945,96,93.18181818,96.42857143,Kuala Lumpur,Agent,17,161,95.625,95.56962025,4.826086957,1,1,92.86,88.89
370173,97.87234043,94.43567246,97.14285714,86.66666667,95.34883721,100,89.58333333,Kuala Lumpur,Agent,17,216,97.19626168,97.6076555,4.861111111,1,0,75,96.3
373992,100,94.44444444,90,94.44444444,100,95,100,Kuala Lumpur,Agent,17,98,95.78947368,97.82608696,4.744897959,1,1,78.57,96.55
374455,96.5954127,94.11764706,96.5954127,92.30769231,100,100,96.55172414,Kuala Lumpur,Agent,17,98,94.89795918,100,4.775510204,0,0,88.24,100
359251,100,96.0952381,90,96.0952381,90.47619048,100,100,Kuala Lumpur,Agent,17,92,95.65217391,94.38202247,4.826086957,1,0,80,96
385925,94.87179487,100,97.06959707,97.06959707,90.47619048,100,100,Kuala Lumpur,Agent,17,180,96.08938547,95.42857143,4.905555556,4,1,100,100
366897,94.73684211,100,100,97.45614035,100,95,95,Kuala Lumpur,Agent,17,101,93,97.93814433,4.940594059,0,0,100,100
366394,100,98.27586207,98.33040019,96.96969697,100,100,94.73684211,Kuala Lumpur,Agent,17,282,97.5088968,98.16176471,4.921985816,1,0,95,100
368079,100,100,100,98.25533662,93.10344828,100,96.42857143,Kuala Lumpur,Agent,17,111,94.54545455,94.33962264,4.918918919,0,0,90,100
366368,100,100,96.90185676,93.10344828,100,92.30769231,96,Kuala Lumpur,Agent,17,135,93.89312977,99.2248062,4.837037037,1,0,95.24,95.24
367112,96,91.30434783,94.01501035,100,100,89.28571429,87.5,Kuala Lumpur,Agent,17,132,94.53125,97.56097561,4.818181818,0,0,100,100
353147,100,100,98.17751552,100,96.55172414,97.05882353,95.45454545,Kuala Lumpur,Agent,17,218,95.81395349,97.59615385,4.862385321,0,0,95.24,100
357454,100,100,100,97.60458839,89.47368421,96.15384615,100,Kuala Lumpur,Agent,16,93,95.50561798,93.10344828,4.903225806,0,0,100,96.88
362681,90,100,96.68261563,97.36842105,100,97.72727273,95,Kuala Lumpur,Agent,16,214,95.75471698,98.0861244,4.91588785,1,0,95.65,100
371840,86.20689655,87.09677419,90.1266619,90.1266619,93.75,90.47619048,93.10344828,Kuala Lumpur,Agent,16,142,95.74468085,92.64705882,4.788732394,5,3,83.33,89.47
378089,94.73684211,87.5,95.5778032,95.5778032,100,95.65217391,100,Kuala Lumpur,Agent,16,72,95.83333333,98.52941176,4.611111111,1,1,100,100
365613,95.13138049,94.73684211,95.13138049,91.17647059,89.74358974,100,100,Kuala Lumpur,Agent,16,125,95.12195122,98.30508475,4.768,2,1,100,83.33
371722,91.06121948,84.21052632,91.06121948,95.45454545,92.30769231,83.33333333,100,Kuala Lumpur,Agent,16,73,97.18309859,92.85714286,4.931506849,1,1,100,80
384701,96.92395983,97.05882353,96.92395983,97.56097561,100,90,100,Kuala Lumpur,Agent,16,139,99.27536232,94.7761194,4.784172662,0,0,100,94.44
375680,95.55555556,94,93.09825792,80,97.2972973,97.61904762,94.11764706,Kuala Lumpur,Agent,16,235,93.96551724,96.42857143,4.834042553,1,0,95,94.74
387754,100,90,100,95.42929293,91.66666667,90.90909091,100,Kuala Lumpur,Agent,16,63,95.16129032,95.16129032,4.984126984,0,0,100,100
367096,100,97.14285714,97.21601104,97.21601104,91.11111111,97.82608696,100,Kuala Lumpur,Agent,16,184,97.23756906,95.48022599,4.788043478,2,1,100,100
373748,96.66666667,100,96.98039216,96.98039216,88.23529412,100,100,Kuala Lumpur,Agent,16,80,95,97.4025974,4.7625,2,1,94.12,94.12
380223,90.90909091,95.12195122,95.67334865,97.05882353,100,96.07843137,94.87179487,Kuala Lumpur,Agent,16,221,97.26027397,95.28301887,4.841628959,6,2,96.3,100
373874,100,93.75,100,86.66666667,95.23809524,95.65217391,100,Kuala Lumpur,Agent,16,119,96.61016949,95.65217391,4.840336134,0,0,100,92.86
355564,98.11320755,97.72727273,100,97.91358169,98.21428571,96.55172414,96.875,Kuala Lumpur,Agent,16,218,98.60465116,97.6076555,4.917431193,0,0,100,100
353849,100,94,95.11050986,92.5,90.90909091,96.82539683,96.42857143,Kuala Lumpur,Agent,15,248,95.12195122,94.04255319,4.782258065,2,0,97.3,97.3
376661,93.87755102,92.85714286,94.74189676,94.74189676,92.85714286,94.11764706,100,Kuala Lumpur,Agent,15,139,94.89051095,97.76119403,4.618705036,1,1,100,100
353039,96.92307692,100,96.49620075,96.49620075,96,96.875,92.68292683,Kuala Lumpur,Agent,15,224,96.42857143,96.34703196,4.857142857,1,0,100,90.32
357970,100,100,92.85714286,100,95.65217391,93.33333333,95,Kuala Lumpur,Agent,15,128,94.53125,94.4,4.8359375,1,1,100,96.67
375039,100,100,100,98.41269841,90.47619048,100,100,Kuala Lumpur,Agent,15,130,96.15384615,96,4.907692308,0,0,100,100
368041,91.30434783,91.66666667,93.34744965,93.34744965,100,92.85714286,90.90909091,Kuala Lumpur,Agent,15,131,93.89312977,93.5483871,4.732824427,2,1,96,92.31
376070,90.76923077,91.35802469,92.61047083,92.85714286,95.0617284,95.29411765,90.32258065,Kuala Lumpur,Agent,14,388,95.36082474,94.9197861,4.731958763,8,4,91.89,85.42
371286,100,100,93.75,100,100,92.30769231,100,Kuala Lumpur,Agent,14,80,97.5,94.80519481,4.7875,0,0,92.59,91.67
387142,77.77777778,90,92.17145787,93.10344828,97.18309859,96.55172414,98.41269841,Kuala Lumpur,Agent,14,309,97.06840391,95.15570934,4.809061489,3,2,91.43,97.62
383803,97.91666667,100,96.1893003,96.1893003,92.68292683,92.30769231,98.03921569,Kuala Lumpur,Agent,14,227,96.91629956,96.86098655,4.876651982,4,1,89.47,100
356718,88.46153846,96.15384615,92.51526252,80,100,90.47619048,100,Kuala Lumpur,Agent,14,164,95.09202454,96.79487179,4.865853659,3,2,100,100
356813,100,83.33333333,100,97.22222222,100,100,100,Kuala Lumpur,Agent,12,52,100,96,4.884615385,0,0,85.71,100
364165,100,93.93939394,95.34186292,96.15384615,94.11764706,94.73684211,93.10344828,Kuala Lumpur,Agent,12,150,99.33333333,96.59863946,4.8,2,2,94.12,92.86
