Relative Compactness,Surface Area,Wall Area,Roof Area,Overall Height,Orientation,Glazing Area,Glazing Area Distribution,Heating Load,Cooling Load
0.98,514.5,294,110.25,7,2,0,0,15.55,21.33
0.98,514.5,294,110.25,7,3,0,0,15.55,21.33
0.98,514.5,294,110.25,7,4,0,0,15.55,21.33
0.98,514.5,294,110.25,7,5,0,0,15.55,21.33
0.9,563.5,318.5,122.5,7,2,0,0,20.84,28.28
0.9,563.5,318.5,122.5,7,3,0,0,21.46,25.38
0.9,563.5,318.5,122.5,7,4,0,0,20.71,25.16
0.9,563.5,318.5,122.5,7,5,0,0,19.68,29.6
0.86,588,294,147,7,2,0,0,19.5,27.3
0.86,588,294,147,7,3,0,0,19.95,21.97
0.86,588,294,147,7,4,0,0,19.34,23.49
0.86,588,294,147,7,5,0,0,18.31,27.87
0.82,612.5,318.5,147,7,2,0,0,17.05,23.77
0.82,612.5,318.5,147,7,3,0,0,17.41,21.46
0.82,612.5,318.5,147,7,4,0,0,16.95,21.16
0.82,612.5,318.5,147,7,5,0,0,15.98,24.93
0.79,637,343,147,7,2,0,0,28.52,37.73
0.79,637,343,147,7,3,0,0,29.9,31.27
0.79,637,343,147,7,4,0,0,29.63,30.93
0.79,637,343,147,7,5,0,0,28.75,39.44
0.76,661.5,416.5,122.5,7,2,0,0,24.77,29.79
0.76,661.5,416.5,122.5,7,3,0,0,23.93,29.68
0.76,661.5,416.5,122.5,7,4,0,0,24.77,29.79
0.76,661.5,416.5,122.5,7,5,0,0,23.93,29.4
0.74,686,245,220.5,3.5,2,0,0,6.07,10.9
0.74,686,245,220.5,3.5,3,0,0,6.05,11.19
0.74,686,245,220.5,3.5,4,0,0,6.01,10.94
0.74,686,245,220.5,3.5,5,0,0,6.04,11.17
0.71,710.5,269.5,220.5,3.5,2,0,0,6.37,11.27
0.71,710.5,269.5,220.5,3.5,3,0,0,6.4,11.72
0.71,710.5,269.5,220.5,3.5,4,0,0,6.37,11.29
0.71,710.5,269.5,220.5,3.5,5,0,0,6.4,11.67
0.69,735,294,220.5,3.5,2,0,0,6.85,11.74
0.69,735,294,220.5,3.5,3,0,0,6.79,12.05
0.69,735,294,220.5,3.5,4,0,0,6.77,11.73
0.69,735,294,220.5,3.5,5,0,0,6.81,11.93
0.66,759.5,318.5,220.5,3.5,2,0,0,7.18,12.4
0.66,759.5,318.5,220.5,3.5,3,0,0,7.1,12.23
0.66,759.5,318.5,220.5,3.5,4,0,0,7.1,12.4
0.66,759.5,318.5,220.5,3.5,5,0,0,7.1,12.14
0.64,784,343,220.5,3.5,2,0,0,10.85,16.78
0.64,784,343,220.5,3.5,3,0,0,10.54,16.8
