,Index,Address,FLAG,Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Sent tnx,Received Tnx,Number of Created Contracts,Unique Received From Addresses,Unique Sent To Addresses,min value received,max value received ,avg val received,min val sent,max val sent,avg val sent,min value sent to contract,max val sent to contract,avg value sent to contract,total transactions (including tnx to create contract,total Ether sent,total ether received,total ether sent contracts,total ether balance, Total ERC20 tnxs, ERC20 total Ether received, ERC20 total ether sent, ERC20 total Ether sent contract, ERC20 uniq sent addr, ERC20 uniq rec addr, ERC20 uniq sent addr.1, ERC20 uniq rec contract addr, ERC20 avg time between sent tnx, ERC20 avg time between rec tnx, ERC20 avg time between rec 2 tnx, ERC20 avg time between contract tnx, ERC20 min val rec, ERC20 max val rec, ERC20 avg val rec, ERC20 min val sent, ERC20 max val sent, ERC20 avg val sent, ERC20 min val sent contract, ERC20 max val sent contract, ERC20 avg val sent contract, ERC20 uniq sent token name, ERC20 uniq rec token name, ERC20 most sent token type, ERC20_most_rec_token_type
0,1,0x00009277775ac7d0d59eaad8fee3d10ac6c805e8,0,844.26,1093.71,704785.63,721,89,0,40,118,0.0,45.806785,6.589513,0.0,31.22,1.200681,0.0,0.0,0.0,810,865.6910932,586.4666748,0.0,-279.2244185,265.0,35588543.78,35603169.52,0.0,30.0,54.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,15000000.0,265586.1476,0.0,16830998.35,271779.92,0.0,0.0,0.0,39.0,57.0,Cofoundit,Numeraire
1,2,0x0002b44ddb1476db43c868bd494422ee4c136fed,0,12709.07,2958.44,1218216.73,94,8,0,5,14,0.0,2.613269,0.385685,0.0,1.8,0.032844,0.0,0.0,0.0,102,3.08729702,3.085478209,0.0,-0.001818811,8.0,403.4283054,2.260809454,0.0,1.0,5.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,365.0,57.632615,2.260809,2.260809,2.260809,0.0,0.0,0.0,1.0,7.0,Livepeer Token,Livepeer Token
2,3,0x0002bda54cb772d040f779e88eb453cac0daa244,0,246194.54,2434.02,516729.3,2,10,0,10,2,0.113119,1.165453,0.358906,0.05,3.538616,1.7943080000000002,0.0,0.0,0.0,12,3.58861565,3.58905665,0.0,0.000441,8.0,521.5120705,0.0,0.0,0.0,7.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,442.81984000000006,65.189009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,None,XENON
3,4,0x00038e6ba2fd5c09aedb96697c8d7b8fa6632e5e,0,10219.6,15785.09,397555.9,25,9,0,7,13,0.0,500.0,99.48884,0.0,450.0,70.001834,0.0,0.0,0.0,34,1750.0458620000004,895.399559,0.0,-854.6463028999998,14.0,17111.05191,11412.23068,0.0,2.0,11.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,11412.23068,1555.550174,100.0,9029.23068,3804.076893,0.0,0.0,0.0,1.0,11.0,Raiden,XENON
4,5,0x00062d1dd1afb6fb02540ddad9cdebfe568e0d89,0,36.61,10707.77,382472.42,4598,20,1,7,19,0.0,12.802411,2.671095,0.0,9.0,0.022688,0.0,0.0,0.0,4619,104.3188828,53.4218965,0.0,-50.89698629,42.0,162829.6609,123539.9329,0.0,4.0,23.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,90000.0,4934.232147,0.0,45000.0,13726.65922,0.0,0.0,0.0,6.0,27.0,StatusNetwork,EOS
5,6,0x000895ad78f4403ecd9468900e68d6ee506136fd,0,9900.12,375.48,20926.68,2,3,0,2,1,0.7241479999999999,4.813776,3.2349080000000003,4.1668,5.5369160000000015,4.851858,0.0,0.0,0.0,5,9.70371586,9.70472386,0.0,0.001008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
6,7,0x000d63fc5df52b0204374c2f5a3249779805d5d1,0,69.46,629.44,8660.35,25,11,0,9,20,0.049,2.65,1.098115,0.009457,4.284785,0.482496,0.0,0.0,0.0,36,12.0623941,12.079266,0.0,0.016871896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
7,8,0x000e001ab444fa8d6dc4a402f8d7cfc88fe8c64d,0,1497.39,176.84,319828.05,213,5,0,3,3,0.11849,2.0,0.891098,0.0,0.7,0.040861,0.0,0.0,0.0,218,8.703392156,4.45548974,0.0,-4.2479024160000005,7.0,397.951964,0.0,0.0,0.0,5.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,365.0,56.850281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,None,XENON
8,9,0x0012cb699c836049a4bbeaac2d8c4d47c688e0e4,0,0.0,0.0,496.62,1,1,0,1,1,2.0,2.0,2.0,1.99938,1.99938,1.99938,0.0,0.0,0.0,2,1.99938,2.0,0.0,0.00062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
9,10,0x0012f247c9f980eea0a9ad06893bfd95c3145794,0,2570.59,3336.01,30572.7,8,3,0,2,4,0.1,40.0,16.7,0.1,40.0,18.634625,0.0,0.0,0.0,11,149.077,50.1,0.0,-98.977,1.0,600.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,600.0,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,None,AICRYPTO
10,11,0x0013e58a315d2e728f11630aa40abfbdddcab304,0,32.45,12921.57,129540.15,10,10,0,2,1,1.000052,1.014875,1.004819,0.999088,1.01417,1.004055,0.0,0.0,0.0,20,10.04055439,10.04819041,0.0,0.007636018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
11,12,0x0016338abcb6bfa6d355adc207c5d2d42acb5e42,0,3716.41,1448.09,385961.98,8,246,0,4,3,0.118061,81.38600000000002,3.381313,0.01,300.0,103.974875,0.0,0.0,0.0,254,831.799,831.8030477000002,0.0,0.004047714,8.0,6193.025913,0.0,0.0,0.0,7.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,4035.631891,774.128239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,None,XENON
