InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536370,22728,ALARM CLOCK BAKELIKE PINK,24,12/1/2010 8:45,3.75,12583,France
536370,22727,ALARM CLOCK BAKELIKE RED ,24,12/1/2010 8:45,3.75,12583,France
536370,22726,ALARM CLOCK BAKELIKE GREEN,12,12/1/2010 8:45,3.75,12583,France
536370,21724,PANDA AND BUNNIES STICKER SHEET,12,12/1/2010 8:45,0.85,12583,France
536370,21883,STARS GIFT TAPE ,24,12/1/2010 8:45,0.65,12583,France
536370,10002,INFLATABLE POLITICAL GLOBE ,48,12/1/2010 8:45,0.85,12583,France
536370,21791,VINTAGE HEADS AND TAILS CARD GAME ,24,12/1/2010 8:45,1.25,12583,France
536370,21035,SET/2 RED RETROSPOT TEA TOWELS ,18,12/1/2010 8:45,2.95,12583,France
536370,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,24,12/1/2010 8:45,2.95,12583,France
536370,22629,SPACEBOY LUNCH BOX ,24,12/1/2010 8:45,1.95,12583,France
536370,22659,LUNCH BOX I LOVE LONDON,24,12/1/2010 8:45,1.95,12583,France
536370,22631,CIRCUS PARADE LUNCH BOX ,24,12/1/2010 8:45,1.95,12583,France
536370,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,20,12/1/2010 8:45,0.85,12583,France
536370,21731,RED TOADSTOOL LED NIGHT LIGHT,24,12/1/2010 8:45,1.65,12583,France
536370,22900, SET 2 TEA TOWELS I LOVE LONDON ,24,12/1/2010 8:45,2.95,12583,France
536370,21913,VINTAGE SEASIDE JIGSAW PUZZLES,12,12/1/2010 8:45,3.75,12583,France
536370,22540,MINI JIGSAW CIRCUS PARADE ,24,12/1/2010 8:45,0.42,12583,France
536370,22544,MINI JIGSAW SPACEBOY,24,12/1/2010 8:45,0.42,12583,France
536370,22492,MINI PAINT SET VINTAGE ,36,12/1/2010 8:45,0.65,12583,France
536370,POST,POSTAGE,3,12/1/2010 8:45,18,12583,France
536852,22549,PICTURE DOMINOES,12,12/3/2010 9:51,1.45,12686,France
536852,22544,MINI JIGSAW SPACEBOY,24,12/3/2010 9:51,0.42,12686,France
536852,22539,MINI JIGSAW DOLLY GIRL,24,12/3/2010 9:51,0.42,12686,France
536852,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,10,12/3/2010 9:51,0.85,12686,France
536852,21791,VINTAGE HEADS AND TAILS CARD GAME ,12,12/3/2010 9:51,1.25,12686,France
536852,21786,POLKADOT RAIN HAT ,24,12/3/2010 9:51,0.42,12686,France
536852,POST,POSTAGE,1,12/3/2010 9:51,18,12686,France
536974,15056BL,EDWARDIAN PARASOL BLACK,9,12/3/2010 13:59,5.95,12682,France
536974,15056P,EDWARDIAN PARASOL PINK,3,12/3/2010 13:59,5.95,12682,France
536974,20679,EDWARDIAN PARASOL RED,6,12/3/2010 13:59,5.95,12682,France
536974,21915,RED  HARMONICA IN BOX ,12,12/3/2010 13:59,1.25,12682,France
536974,22659,LUNCH BOX I LOVE LONDON,12,12/3/2010 13:59,1.95,12682,France
536974,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,12,12/3/2010 13:59,2.55,12682,France
536974,22892,SET OF SALT AND PEPPER TOADSTOOLS,12,12/3/2010 13:59,1.25,12682,France
536974,22027,TEA PARTY BIRTHDAY CARD,12,12/3/2010 13:59,0.42,12682,France
536974,20749,ASSORTED COLOUR MINI CASES,2,12/3/2010 13:59,7.95,12682,France
536974,20750,RED RETROSPOT MINI CASES,2,12/3/2010 13:59,7.95,12682,France
536974,21700,BIG DOUGHNUT FRIDGE MAGNETS,12,12/3/2010 13:59,0.85,12682,France
536974,22748,POPPY'S PLAYHOUSE KITCHEN,6,12/3/2010 13:59,2.1,12682,France
536974,22080,RIBBON REEL POLKADOTS ,10,12/3/2010 13:59,1.65,12682,France
536974,20725,LUNCH BAG RED RETROSPOT,10,12/3/2010 13:59,1.65,12682,France
536974,20726,LUNCH BAG WOODLAND,10,12/3/2010 13:59,1.65,12682,France
536974,POST,POSTAGE,2,12/3/2010 13:59,18,12682,France
537065,22837,HOT WATER BOTTLE BABUSHKA ,8,12/5/2010 11:57,4.65,12567,France
537065,22846,BREAD BIN DINER STYLE RED ,1,12/5/2010 11:57,16.95,12567,France
537065,22892,SET OF SALT AND PEPPER TOADSTOOLS,12,12/5/2010 11:57,1.25,12567,France
537065,22968,ROSE COTTAGE KEEPSAKE BOX ,8,12/5/2010 11:57,8.5,12567,France
537065,84678,CLASSICAL ROSE SMALL VASE,6,12/5/2010 11:57,2.55,12567,France
537065,20665,RED RETROSPOT PURSE ,6,12/5/2010 11:57,2.95,12567,France
537065,21786,POLKADOT RAIN HAT ,24,12/5/2010 11:57,0.42,12567,France
537065,21787,RAIN PONCHO RETROSPOT,24,12/5/2010 11:57,0.85,12567,France
537065,20750,RED RETROSPOT MINI CASES,6,12/5/2010 11:57,7.95,12567,France
537065,20749,ASSORTED COLOUR MINI CASES,2,12/5/2010 11:57,7.95,12567,France
537065,21774,DECORATIVE CATS BATHROOM BOTTLE,12,12/5/2010 11:57,1.25,12567,France
537065,21121,SET/10 RED POLKADOT PARTY CANDLES,24,12/5/2010 11:57,1.25,12567,France
537065,21439,BASKET OF TOADSTOOLS,12,12/5/2010 11:57,1.25,12567,France
537065,47566,PARTY BUNTING,5,12/5/2010 11:57,4.65,12567,France
537065,22727,ALARM CLOCK BAKELIKE RED ,4,12/5/2010 11:57,3.75,12567,France
537065,22726,ALARM CLOCK BAKELIKE GREEN,4,12/5/2010 11:57,3.75,12567,France
537065,22728,ALARM CLOCK BAKELIKE PINK,4,12/5/2010 11:57,3.75,12567,France
537065,22729,ALARM CLOCK BAKELIKE ORANGE,4,12/5/2010 11:57,3.75,12567,France
537065,22243,5 HOOK HANGER RED MAGIC TOADSTOOL,12,12/5/2010 11:57,1.65,12567,France
537065,22467,GUMBALL COAT RACK,6,12/5/2010 11:57,2.55,12567,France
537065,22318,FIVE HEART HANGING DECORATION,6,12/5/2010 11:57,2.95,12567,France
537065,21195,PINK  HONEYCOMB PAPER BALL ,6,12/5/2010 11:57,2.1,12567,France
537065,20725,LUNCH BAG RED RETROSPOT,10,12/5/2010 11:57,1.65,12567,France
537065,20726,LUNCH BAG WOODLAND,20,12/5/2010 11:57,1.65,12567,France
537065,20728,LUNCH BAG CARS BLUE,10,12/5/2010 11:57,1.65,12567,France
537065,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6,12/5/2010 11:57,2.55,12567,France
537065,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,6,12/5/2010 11:57,2.95,12567,France
537065,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,6,12/5/2010 11:57,2.55,12567,France
537065,21555,CERAMIC STRAWBERRY TRINKET TRAY,6,12/5/2010 11:57,2.55,12567,France
537065,21533,RETROSPOT LARGE MILK JUG,3,12/5/2010 11:57,4.95,12567,France
537065,21539,RED RETROSPOT BUTTER DISH,3,12/5/2010 11:57,4.95,12567,France
537065,22423,REGENCY CAKESTAND 3 TIER,2,12/5/2010 11:57,12.75,12567,France
537065,84997A,GREEN 3 PIECE POLKADOT CUTLERY SET,6,12/5/2010 11:57,3.75,12567,France
537065,84997B,RED 3 PIECE RETROSPOT CUTLERY SET,6,12/5/2010 11:57,3.75,12567,France
537065,84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,6,12/5/2010 11:57,3.75,12567,France
537065,84279P,CHERRY BLOSSOM  DECORATIVE FLASK,4,12/5/2010 11:57,3.75,12567,France
537065,22634,CHILDS BREAKFAST SET SPACEBOY ,2,12/5/2010 11:57,9.95,12567,France
537065,22635,CHILDS BREAKFAST SET DOLLY GIRL ,2,12/5/2010 11:57,9.95,12567,France
537065,22636,CHILDS BREAKFAST SET CIRCUS PARADE,2,12/5/2010 11:57,8.5,12567,France
537065,22180,RETROSPOT LAMP,4,12/5/2010 11:57,9.95,12567,France
537065,21980,PACK OF 12 RED RETROSPOT TISSUES ,24,12/5/2010 11:57,0.29,12567,France
537065,21981,PACK OF 12 WOODLAND TISSUES ,24,12/5/2010 11:57,0.29,12567,France
537065,21982,PACK OF 12 SUKI TISSUES ,24,12/5/2010 11:57,0.29,12567,France
537065,22614,PACK OF 12 SPACEBOY TISSUES,24,12/5/2010 11:57,0.29,12567,France
537065,22615,PACK OF 12 CIRCUS PARADE TISSUES ,24,12/5/2010 11:57,0.29,12567,France
537065,84870B,BLUE GEISHA GIRL ,4,12/5/2010 11:57,3.75,12567,France
537065,84870C,GREEN GEISHA GIRL ,4,12/5/2010 11:57,3.75,12567,France
537065,22554,PLASTERS IN TIN WOODLAND ANIMALS,12,12/5/2010 11:57,1.65,12567,France
537065,22551,PLASTERS IN TIN SPACEBOY,12,12/5/2010 11:57,1.65,12567,France
537065,16238,PARTY TIME PENCIL ERASERS,28,12/5/2010 11:57,0.21,12567,France
537065,85227,SET OF 6 3D KIT CARDS FOR KIDS,12,12/5/2010 11:57,0.85,12567,France
537065,22632,HAND WARMER RED RETROSPOT,12,12/5/2010 11:57,2.1,12567,France
537065,21829,DINOSAUR KEYRINGS ASSORTED,36,12/5/2010 11:57,0.21,12567,France
537065,21556,CERAMIC STRAWBERRY MONEY BOX,6,12/5/2010 11:57,2.55,12567,France
537065,22644,CERAMIC CHERRY CAKE MONEY BANK,12,12/5/2010 11:57,1.45,12567,France
537065,22390,PAPERWEIGHT CHILDHOOD MEMORIES,6,12/5/2010 11:57,2.55,12567,France
537065,22483,RED GINGHAM TEDDY BEAR ,6,12/5/2010 11:57,2.95,12567,France
537065,21054,NURSE'S BAG SOFT TOY,6,12/5/2010 11:57,8.95,12567,France
537065,21055,TOOL BOX SOFT TOY ,6,12/5/2010 11:57,8.95,12567,France
537065,21892,TRADITIONAL WOODEN CATCH CUP GAME ,12,12/5/2010 11:57,1.25,12567,France
537065,22619,SET OF 6 SOLDIER SKITTLES,4,12/5/2010 11:57,3.75,12567,France
537065,84963A,PINK PAINTED KASHMIRI CHAIR,4,12/5/2010 11:57,42.95,12567,France
537065,POST,POSTAGE,9,12/5/2010 11:57,18,12567,France
537463,22961,JAM MAKING SET PRINTED,12,12/7/2010 10:08,1.45,12681,France
537463,21224,SET/4 SKULL BADGES,10,12/7/2010 10:08,1.25,12681,France
537463,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,18,12/7/2010 10:08,2.95,12681,France
537463,21124,SET/10 BLUE POLKADOT PARTY CANDLES,24,12/7/2010 10:08,1.25,12681,France
537463,21121,SET/10 RED POLKADOT PARTY CANDLES,24,12/7/2010 10:08,1.25,12681,France
537463,21137,BLACK RECORD COVER FRAME,4,12/7/2010 10:08,3.75,12681,France
537463,22041,"RECORD FRAME 7"" SINGLE SIZE ",6,12/7/2010 10:08,2.55,12681,France
537463,22037,ROBOT BIRTHDAY CARD,12,12/7/2010 10:08,0.42,12681,France
