InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536527,22809,SET OF 6 T-LIGHTS SANTA,6,12/1/2010 13:04,2.95,12662,Germany
536527,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,6,12/1/2010 13:04,2.55,12662,Germany
536527,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,12,12/1/2010 13:04,0.85,12662,Germany
536527,22242,5 HOOK HANGER MAGIC TOADSTOOL,12,12/1/2010 13:04,1.65,12662,Germany
536527,22244,3 HOOK HANGER MAGIC GARDEN,12,12/1/2010 13:04,1.95,12662,Germany
536527,22243,5 HOOK HANGER RED MAGIC TOADSTOOL,12,12/1/2010 13:04,1.65,12662,Germany
536527,47421,ASSORTED COLOUR LIZARD SUCTION HOOK,24,12/1/2010 13:04,0.42,12662,Germany
536527,20712,JUMBO BAG WOODLAND ANIMALS,10,12/1/2010 13:04,1.95,12662,Germany
536527,20713,JUMBO BAG OWLS,10,12/1/2010 13:04,1.95,12662,Germany
536527,22837,HOT WATER BOTTLE BABUSHKA ,4,12/1/2010 13:04,4.65,12662,Germany
536527,22969,HOMEMADE JAM SCENTED CANDLES,12,12/1/2010 13:04,1.45,12662,Germany
536527,22973,CHILDREN'S CIRCUS PARADE MUG,12,12/1/2010 13:04,1.65,12662,Germany
536527,84569B,PACK 3 FIRE ENGINE/CAR PATCHES,12,12/1/2010 13:04,1.25,12662,Germany
536527,22549,PICTURE DOMINOES,12,12/1/2010 13:04,1.45,12662,Germany
536527,POST,POSTAGE,1,12/1/2010 13:04,18,12662,Germany
C536548,22244,3 HOOK HANGER MAGIC GARDEN,-4,12/1/2010 14:33,1.95,12472,Germany
C536548,22242,5 HOOK HANGER MAGIC TOADSTOOL,-5,12/1/2010 14:33,1.65,12472,Germany
C536548,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,-1,12/1/2010 14:33,2.95,12472,Germany
C536548,22892,SET OF SALT AND PEPPER TOADSTOOLS,-7,12/1/2010 14:33,1.25,12472,Germany
C536548,22654,DELUXE SEWING KIT ,-1,12/1/2010 14:33,5.95,12472,Germany
C536548,22767,TRIPLE PHOTO FRAME CORNICE ,-2,12/1/2010 14:33,9.95,12472,Germany
C536548,22333,RETROSPOT PARTY BAG + STICKER SET,-1,12/1/2010 14:33,1.65,12472,Germany
C536548,22245,"HOOK, 1 HANGER ,MAGIC GARDEN",-2,12/1/2010 14:33,0.85,12472,Germany
C536548,22077,6 RIBBONS RUSTIC CHARM,-6,12/1/2010 14:33,1.65,12472,Germany
C536548,22631,CIRCUS PARADE LUNCH BOX ,-1,12/1/2010 14:33,1.95,12472,Germany
C536548,22168,ORGANISER WOOD ANTIQUE WHITE ,-2,12/1/2010 14:33,8.5,12472,Germany
C536548,21218,RED SPOTTY BISCUIT TIN,-3,12/1/2010 14:33,3.75,12472,Germany
C536548,20957,PORCELAIN HANGING BELL SMALL,-1,12/1/2010 14:33,1.45,12472,Germany
C536548,22580,ADVENT CALENDAR GINGHAM SACK,-4,12/1/2010 14:33,5.95,12472,Germany
C536622,22752,SET 7 BABUSHKA NESTING BOXES,-2,12/2/2010 10:37,8.5,12471,Germany
536840,22961,JAM MAKING SET PRINTED,12,12/2/2010 18:27,1.45,12738,Germany
536840,22962,JAM JAR WITH PINK LID,12,12/2/2010 18:27,0.85,12738,Germany
536840,22963,JAM JAR WITH GREEN LID,12,12/2/2010 18:27,0.85,12738,Germany
536840,22776,SWEETHEART CAKESTAND 3 TIER,1,12/2/2010 18:27,9.95,12738,Germany
536840,22952,60 CAKE CASES VINTAGE CHRISTMAS,24,12/2/2010 18:27,0.55,12738,Germany
536840,22077,6 RIBBONS RUSTIC CHARM,12,12/2/2010 18:27,1.65,12738,Germany
536840,22215,CAKE STAND WHITE TWO TIER LACE,2,12/2/2010 18:27,8.5,12738,Germany
536840,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,12/2/2010 18:27,0.55,12738,Germany
536840,84991,60 TEATIME FAIRY CAKE CASES,24,12/2/2010 18:27,0.55,12738,Germany
