Id,C_MSSubClass,C_MSZoning,Numeric_LotFrontage,Numeric_LotArea,C_Street,C_Alley,C_LotShape,C_LandContour,C_Utilities,C_LotConfig,C_LandSlope,C_Neighborhood,C_Condition1,C_Condition2,C_BldgType,C_HouseStyle,Int_OverallQual,Int_OverallCond,C_YearBuilt,C_YearRemodAdd,C_RoofStyle,C_RoofMatl,C_Exterior1st,C_Exterior2nd,C_MasVnrType,Numeric_MasVnrArea,C_ExterQual,C_ExterCond,C_Foundation,C_BsmtQual,C_BsmtCond,C_BsmtExposure,C_BsmtFinType1,Numeric_BsmtFinSF1,C_BsmtFinType2,Numeric_BsmtFinSF2,Numeric_BsmtUnfSF,Numeric_TotalBsmtSF,C_Heating,C_HeatingQC,C_CentralAir,C_Electrical,Numeric_1stFlrSF,Numeric_2ndFlrSF,Numeric_LowQualFinSF,Numeric_GrLivArea,Int_BsmtFullBath,Int_BsmtHalfBath,Int_FullBath,Int_HalfBath,Int_BedroomAbvGr,Int_KitchenAbvGr,C_KitchenQual,Int_TotRmsAbvGrd,C_Functional,Int_Fireplaces,C_FireplaceQu,C_GarageType,C_GarageYrBlt,C_GarageFinish,Int_GarageCars,Numeric_GarageArea,C_GarageQual,C_GarageCond,C_PavedDrive,Numeric_WoodDeckSF,Numeric_OpenPorchSF,Numeric_EnclosedPorch,Numeric_3SsnPorch,Numeric_ScreenPorch,Numeric_PoolArea,C_PoolQC,C_Fence,C_MiscFeature,Numeric_MiscVal,C_MoSold,C_YrSold,C_SaleType,C_SaleCondition,SalePrice,Log_LotFrontage,Log_LotArea,Log_MasVnrArea,Log_BsmtFinSF1,Log_BsmtFinSF2,Log_BsmtUnfSF,Log_TotalBsmtSF,Log_1stFlrSF,Log_2ndFlrSF,Log_LowQualFinSF,Log_GrLivArea,Log_GarageArea,Log_WoodDeckSF,Log_OpenPorchSF,Log_EnclosedPorch,Log_3SsnPorch,Log_ScreenPorch,Log_PoolArea,Log_MiscVal,C_Feature_Bldg_Class,Numeric_Feature_SD_LotArea,C_Feature_1_SD_Away_LotArea,C_Feature_MSZoning,C_Feature_LotShape,C_Feature_LotConfig,C_Feature_LandSlope,C_Feature_Neighbourhood_Class,C_Feature_Neighbourhood,C_Feature_Condition1_1,C_Feature_Condition1_2,C_Feature_Condition2,C_Feature_BldgType,C_Feature_HouseStyle_1,C_Feature_HouseStyle_2,Int_Feature_HouseStyle_3,Int_Feature_Overall_Qual,Int_Feature_Overall_Cond,C_Feature_OverallQual,C_Feature_OverallCond,Int_Feature_YearBuilt_Age,C_Feature_YearBuilt_Age_2,C_Feature_YearBuilt_Age_3,Int_Feature_YearBuilt_Age_3,C_Feature_YearBuilt_interaction,Int_Feature_Reomod_Age,C_Feature_Remod_Flag,C_Feature_YearRemod_Age_2,C_Feature_YearRemod_Age_3,C_Feature_YearRemod_interaction,C_Feature_RoofStyle,C_Feature_RoofMatl,C_Feature_Exterior1st,C_Feature_Exterior2nd,C_Feature_Exterior2nd_Flag,C_Feature_MasVnrType,Int_Feature_ExterQual,C_Feature_ExterQual_Flag,Int_Feature_ExterQual_2,Int_Feature_ExterCond,C_Feature_ExterCond_Flag,Int_Feature_ExterCond_2,C_Feature_ExterCond_Depr_Flag,Int_Feature_Years_Depreciated,C_Feature_Foundation,Int_Feature_BsmtQual,Int_Feature_BsmtQual_2,Int_Feature_BsmtCond,C_Feature_BsmtQual_BsmtCond,Int_Feature_BsmtExposure,C_Feature_QCE,C_Feature_BsmtFinTyp1_1,C_Feature_BsmtFintyp1_2,C_Feature_BsmtFinTyp2_1,C_Feature_BsmtFinTyp2_2,C_Feature_Heating,Int_Feature_Heating_QC,C_Feature_Heating_and_QC,C_Feature_Electrical,C_Feature_2ndFlr_Flag,C_Feature_LowQualSF,C_Feature_BsmtFullBath,C_Feature_BsmtHalfBath,C_Feature_FullBath,C_Feature_HalfBath,Int_Feature_Bsmt_TotalBath,Int_Feature_TotalBath,Int_Feature_Tot_HalfBath,Int_Feature_Tot_FullBath,Int_Feature_TotBath,C_Feature_KitchenAbvGrd,Int_Feature_KitchenQual,C_Feature_Kitchen_NQ,C_Feature_TotRmsAbvGrd,C_Feature_Functional,Int_Feature_Firplace_QU,C_Feature_GarageType,C_Feature_Garage_Flag,Int_GarageYearBuilt_Age,C_GarageYear_df_than_built_flag,Int_Feature_GarageQual,Int_Feature_GarageCond,C_Feature_Qual_Cond,C_Feature_Paved,Numeric_Feature_TotalPorch_Area,Numeric_Feature_Log_TotalPorch,C_Feature_WoodDeckSF_Flag,C_Feature_OpenPorchSF_Flag,C_Feature_EnclosedPorch_Flag,C_Feature_3SsnPorch_Flag,C_Feature_ScreenPorch_Flag,C_sumof_Flags,C_sumof_Flags_inverse,C_Feature_Fence_Flag,C_Feature_SaleCondition,C_Feature_SaleType,Numeric_Feature_TotalArea,Numeric_Feature_Log_TotalArea
1,60,RL,65,8450,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196,Gd,TA,PConc,Gd,TA,No,GLQ,706,Unf,0,150,856,GasA,Ex,Y,SBrkr,856,854,0,1710,1,0,2,1,3,1,Gd,8,Typ,0,None,Attchd,2003,RFn,2,548,TA,TA,Y,0,61,0,0,0,0,None,None,None,0,2,2008,WD,Normal,208500,1.812913357,3.926856709,2.292256071,2.848804701,0,2.176091259,2.932473765,2.932473765,2.931457871,0,3.23299611,2.738780558,0,1.785329835,0,0,0,0,0,1,-0.2,0,0,1,Inside,1,Average,CollgCr,1,1,0,1,2Story,1,6,7,5,7,5,5,Less than 20 Years,1,1,Less than 20 Years AND 1,5,0,Less than 20 Years,1,Less than 20 Years AND 1,Gable,CompShg,VinylSd,VinylSd,0,0,4,0,4,3,0,3,Depreciated,5,PConc,4,99,3,4 AND 3,1,4 AND 3 AND 1,0,0,0,1,GasA,5,GasA AND 5,SBrkr,0,1,1,0,2,1,1,3,1,3,4,1 Kitchen,4,1 Kitchen AND 4,8 Rooms,1,0,Attchd,0,5,0,3,3,3 AND 3,1,61,1.785329835,1,0,1,1,1,4,1,1,1,WD,2823,3.450710878
2,20,RL,80,9600,Pave,None,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,Gd,TA,Gd,ALQ,978,Unf,0,284,1262,GasA,Ex,Y,SBrkr,1262,0,0,1262,0,1,2,0,3,1,TA,6,Typ,1,TA,Attchd,1976,RFn,2,460,TA,TA,Y,298,0,0,0,0,0,None,None,None,0,5,2007,WD,Normal,181500,1.903089987,3.982271233,0,2.990338855,0,2.45331834,3.101059355,3.101059355,0,0,3.101059355,2.662757832,2.474216264,0,0,0,0,0,0,1,-0.09,0,0,1,FR,1,Above Average,Other Grouped,0,4,1,1,1Story,1,5,6,8,6,8,31,More than 20 but less than 50,4,4,More than 20 but less than 50 AND 4,31,0,More than 20 but less than 50,4,More than 20 but less than 50 AND 4,Gable,CompShg,MetalSd,MetalSd,0,1,3,0,3,3,0,3,Constant,0,CBlock,4,99,3,4 AND 3,4,4 AND 3 AND 4,0,0,0,1,GasA,5,GasA AND 5,SBrkr,1,1,0,1,2,0,1,2,1,2,3,1 Kitchen,3,1 Kitchen AND 3,Between 5 - 7,1,3,Attchd,0,31,0,3,3,3 AND 3,1,298,2.474216264,0,1,1,1,1,4,1,1,1,WD,2822,3.450557009
3,60,RL,68,11250,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162,Gd,TA,PConc,Gd,TA,Mn,GLQ,486,Unf,0,434,920,GasA,Ex,Y,SBrkr,920,866,0,1786,1,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,2001,RFn,2,608,TA,TA,Y,0,42,0,0,0,0,None,None,None,0,9,2008,WD,Normal,223500,1.832508913,4.051152522,2.209515015,2.686636269,0,2.63748973,2.963787827,2.963787827,2.937517892,0,3.251881455,2.783903579,0,1.62324929,0,0,0,0,0,1,0.08,0,0,0,Inside,1,Average,CollgCr,1,1,0,1,2Story,1,6,7,5,7,5,7,Less than 20 Years,1,1,Less than 20 Years AND 1,6,1,Less than 20 Years,1,Less than 20 Years AND 1,Gable,CompShg,VinylSd,VinylSd,0,0,4,0,4,3,0,3,Depreciated,6,PConc,4,99,3,4 AND 3,2,4 AND 3 AND 2,0,0,0,1,GasA,5,GasA AND 5,SBrkr,0,1,1,0,2,1,1,3,1,3,4,1 Kitchen,4,1 Kitchen AND 4,Between 5 - 7,1,3,Attchd,0,7,0,3,3,3 AND 3,1,42,1.62324929,1,0,1,1,1,4,1,1,1,WD,2910,3.463892989
4,70,RL,60,9550,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,TA,Gd,No,ALQ,216,Unf,0,540,756,GasA,Gd,Y,SBrkr,961,756,0,1717,1,0,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,1998,Unf,3,642,TA,TA,Y,0,35,272,0,0,0,None,None,None,0,2,2006,WD,Abnorml,140000,1.77815125,3.980003372,0,2.334453751,0,2.73239376,2.878521796,2.982723388,2.878521796,0,3.234770295,2.807535028,0,1.544068044,2.434568904,0,0,0,0,0,-0.09,0,0,0,Corner,1,Above Average,Crawfor,1,1,0,1,2Story,1,6,7,5,7,5,91,More than 50 but less than 100 Years,10,10,More than 50 but less than 100 Years AND 10,36,1,More than 20 but less than 50,4,More than 20 but less than 50 AND 4,Gable,CompShg,Wd Sdng,Wd Sdng,0,1,3,0,3,3,0,3,Constant,0,BrkTil,3,89,4,3 AND 4,1,3 AND 4 AND 1,0,0,0,1,GasA,4,GasA AND 4,SBrkr,0,1,1,0,1,0,1,1,0,2,2,1 Kitchen,4,1 Kitchen AND 4,Between 5 - 7,1,4,Detchd,0,8,1,3,3,3 AND 3,1,307,2.487138375,1,0,0,1,1,3,2,1,0,WD,2780,3.444044796
5,60,RL,84,14260,Pave,None,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350,Gd,TA,PConc,Gd,TA,Av,GLQ,655,Unf,0,490,1145,GasA,Ex,Y,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,2000,RFn,3,836,TA,TA,Y,192,84,0,0,0,0,None,None,None,0,12,2008,WD,Normal,250000,1.924279286,4.154119526,2.544068044,2.8162413,0,2.69019608,3.058805487,3.058805487,3.022428371,0,3.342027688,2.922206277,2.283301229,1.924279286,0,0,0,0,0,1,0.39,0,0,0,FR,1,Expensive,NoRidge,1,1,0,1,2Story,1,6,8,5,8,5,8,Less than 20 Years,1,1,Less than 20 Years AND 1,8,0,Less than 20 Years,1,Less than 20 Years AND 1,Gable,CompShg,VinylSd,VinylSd,0,0,4,0,4,3,0,3,Depreciated,8,PConc,4,99,3,4 AND 3,3,4 AND 3 AND 3,0,0,0,1,GasA,5,GasA AND 5,SBrkr,0,1,1,0,2,1,1,3,1,3,4,1 Kitchen,4,1 Kitchen AND 4,9 Rooms,1,3,Attchd,0,8,0,3,3,3 AND 3,1,276,2.440909082,0,0,1,1,1,3,2,1,1,WD,3969,3.598681099
6,50,RL,85,14115,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,Wood,Gd,TA,No,GLQ,732,Unf,0,64,796,GasA,Ex,Y,SBrkr,796,566,0,1362,1,0,1,1,1,1,TA,5,Typ,0,None,Attchd,1993,Unf,2,480,TA,TA,Y,40,30,0,320,0,0,None,MnPrv,Shed,700,10,2009,WD,Normal,143000,1.929418926,4.149680882,0,2.864511081,0,1.806179974,2.900913068,2.900913068,2.752816431,0,3.134177108,2.681241237,1.602059991,1.477121255,0,2.505149978,0,0,2.84509804,0,0.37,0,0,0,Inside,1,Average,Mitchel,1,1,0,1,1.5Fin,1,3,5,5,5,5,16,Less than 20 Years,2,2,Less than 20 Years AND 2,14,1,Less than 20 Years,2,Less than 20 Years AND 2,Gable,CompShg,VinylSd,VinylSd,0,1,3,0,3,3,0,3,Constant,0,Other,4,99,3,4 AND 3,1,4 AND 3 AND 1,0,0,0,1,GasA,5,GasA AND 5,SBrkr,0,1,1,0,1,1,1,2,1,2,3,1 Kitchen,3,1 Kitchen AND 3,Between 5 - 7,1,0,Attchd,0,16,0,3,3,3 AND 3,1,390,2.591064607,0,0,1,0,1,2,3,0,1,WD,2548,3.406199424
7,20,RL,75,10084,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186,Gd,TA,PConc,Ex,TA,Av,GLQ,1369,Unf,0,317,1686,GasA,Ex,Y,SBrkr,1694,0,0,1694,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2004,RFn,2,636,TA,TA,Y,255,57,0,0,0,0,None,None,None,0,8,2007,WD,Normal,307000,1.875061263,4.003632837,2.269512944,3.136403448,0,2.501059262,3.22685757,3.228913406,0,0,3.228913406,2.803457116,2.40654018,1.755874856,0,0,0,0,0,1,-0.04,0,0,1,Inside,1,Above Average,Somerst,1,1,0,1,1Story,1,5,8,5,8,5,3,Less than 20 Years,1,1,Less than 20 Years AND 1,2,1,Less than 20 Years,1,Less than 20 Years AND 1,Gable,CompShg,VinylSd,VinylSd,0,0,4,0,4,3,0,3,Depreciated,2,PConc,5,120,3,5 AND 3,3,5 AND 3 AND 3,0,0,0,1,GasA,5,GasA AND 5,SBrkr,1,1,1,0,2,0,1,2,0,3,3,1 Kitchen,4,1 Kitchen AND 4,Between 5 - 7,1,4,Attchd,0,3,0,3,3,3 AND 3,1,312,2.494154594,0,0,1,1,1,3,2,1,1,WD,3878,3.588607805
8,60,RL,0,10382,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240,TA,TA,CBlock,Gd,TA,Mn,ALQ,859,BLQ,32,216,1107,GasA,Ex,Y,SBrkr,1107,983,0,2090,1,0,2,1,3,1,TA,7,Typ,2,TA,Attchd,1973,RFn,2,484,TA,TA,Y,235,204,228,0,0,0,None,None,Shed,350,11,2009,WD,Normal,200000,0,4.016281025,2.380211242,2.933993164,1.505149978,2.334453751,3.044147621,3.044147621,2.992553518,0,3.320146286,2.684845362,2.371067862,2.309630167,2.357934847,0,0,0,2.544068044,1,-0.01,0,0,0,Corner,1,Average,NWAmes,0,2,1,1,2Story,1,6,7,6,7,6,36,More than 20 but less than 50,4,4,More than 20 but less than 50 AND 4,36,0,More than 20 but less than 50,4,More than 20 but less than 50 AND 4,Gable,CompShg,HdBoard,HdBoard,0,0,3,0,3,3,0,3,Constant,0,CBlock,4,99,3,4 AND 3,2,4 AND 3 AND 2,0,0,1,0,GasA,5,GasA AND 5,SBrkr,0,1,1,0,2,1,1,3,1,3,4,1 Kitchen,3,1 Kitchen AND 3,Between 5 - 7,1,3,Attchd,0,36,0,3,3,3 AND 3,1,667,2.824125834,0,0,0,1,1,2,3,1,1,WD,4104,3.613207352
9,50,RM,51,6120,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Sdng,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,952,952,GasA,Gd,Y,FuseF,1022,752,0,1774,0,0,2,0,2,2,TA,8,Min1,2,TA,Detchd,1931,Unf,2,468,Fa,TA,Y,90,0,205,0,0,0,None,None,None,0,4,2008,WD,Abnorml,129900,1.707570176,3.786751422,0,0,0,2.978636948,2.978636948,3.009450896,2.876217841,0,3.248953615,2.670245853,1.954242509,0,2.311753861,0,0,0,0,0,-0.44,0,0,1,Inside,1,Below Average,OldTown,0,4,1,1,1.5Fin,1,3,7,5,7,5,77,More than 50 but less than 100 Years,8,8,More than 50 but less than 100 Years AND 8,58,1,More than 50 but less than 100 Years,6,More than 50 but less than 100 Years AND 6,Gable,CompShg,BrkFace,Wd Sdng,1,1,3,0,3,3,0,3,Constant,0,BrkTil,3,89,3,3 AND 3,1,3 AND 3 AND 1,0,1,0,1,GasA,4,GasA AND 4,Other,0,1,0,0,2,0,0,2,0,2,2,More than 1,3,More than 1 AND 3,8 Rooms,0,3,Detchd,0,77,0,2,3,2 AND 3,1,295,2.469822016,0,1,0,1,1,3,2,1,0,WD,3021,3.480150725
10,190,RL,50,7420,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,BrkTil,TA,TA,No,GLQ,851,Unf,0,140,991,GasA,Ex,Y,SBrkr,1077,0,0,1077,1,0,1,0,2,2,TA,5,Typ,2,TA,Attchd,1939,RFn,1,205,Gd,TA,Y,0,4,0,0,0,0,None,None,None,0,1,2008,WD,Normal,118000,1.698970004,3.870403905,0,2.92992956,0,2.146128036,2.996073654,3.032215703,0,0,3.032215703,2.311753861,0,0.602059991,0,0,0,0,0,0,-0.31,0,0,1,Corner,1,Below Average,BrkSide,0,4,0,0,1.5Unf,0,1,5,6,5,6,69,More than 50 but less than 100 Years,7,7,More than 50 but less than 100 Years AND 7,58,1,More than 50 but less than 100 Years,6,More than 50 but less than 100 Years AND 6,Gable,CompShg,MetalSd,MetalSd,0,1,3,0,3,3,0,3,Constant,0,BrkTil,3,89,3,3 AND 3,1,3 AND 3 AND 1,0,0,0,1,GasA,5,GasA AND 5,SBrkr,1,1,1,0,1,0,1,1,0,2,2,More than 1,3,More than 1 AND 3,Between 5 - 7,1,3,Attchd,0,69,0,4,3,4 AND 3,1,4,0.602059991,1,0,1,1,1,4,1,1,1,WD,2072,3.316389751
