PLAYER,Mat.x,Inns.x,NO,Runs.x,HS,Avg.x,BF,SR.x,X100,X50,X4s,X6s,Mat.y,Inns.y,Ov,Runs.y,Wkts,BBI,Avg.y,Econ,SR.y,X4w,X5w,y
Aaron Finch,10,9,1,134,46,16.75,100,134,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0
AB de Villiers,12,11,2,480,90,53.33,275,174.54,0,6,39,30,0,0,0,0,0,0,0,0,0,0,0,0
Abhishek Sharma,3,3,2,63,46,63,33,190.9,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0
Ajinkya Rahane,15,14,1,370,65,28.46,313,118.21,0,1,39,5,0,0,0,0,0,0,0,0,0,0,0,0
Alex Hales,6,6,0,148,45,24.66,118,125.42,0,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0
Ambati Rayudu,16,16,2,602,100,43,402,149.75,1,3,53,34,0,0,0,0,0,0,0,0,0,0,0,0
Andre Russell,16,14,3,316,88,28.72,171,184.79,0,1,17,31,16,15,37.5,355,13,0,27.3,9.38,17.46,0,0,0
Andrew Tye,14,8,2,32,14,5.33,38,84.21,0,0,2,1,14,14,56,448,24,0,18.66,8,14,3,0,0
Axar Patel,9,8,2,80,19,13.33,69,115.94,0,0,3,4,9,8,26,218,3,0,72.66,8.38,52,0,0,0
Ben Cutting,9,6,2,96,37,24,58,165.51,0,0,5,8,9,7,17,168,2,0,84,9.88,51,0,0,0
Ben Stokes,13,13,1,196,45,16.33,161,121.73,0,0,13,6,13,12,37,303,8,0,37.87,8.18,27.75,0,0,0
Bhuvneshwar Kumar,12,4,2,13,7,6.5,16,81.25,0,0,1,0,12,12,46.1,354,9,0,39.33,7.66,30.77,0,0,0
Brendon McCullum,6,6,0,127,43,21.16,88,144.31,0,0,16,6,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Brathwaite,4,4,1,75,43,25,48,156.25,0,0,1,8,4,4,10.1,94,5,0,18.8,9.24,12.2,0,0,0
Chris Gayle,11,11,2,368,104,40.88,252,146.03,1,3,30,27,0,0,0,0,0,0,0,0,0,0,0,0
Chris Lynn,16,16,1,491,74,32.73,377,130.23,0,3,56,18,0,0,0,0,0,0,0,0,0,0,0,0
Chris Morris,4,4,3,46,27,46,26,176.92,0,0,3,2,4,4,14,143,3,0,47.66,10.21,28,0,0,0
Chris Woakes,5,4,2,17,11,8.5,19,89.47,0,0,1,1,5,5,18.2,190,8,0,23.75,10.36,13.75,0,0,0
Colin de Grandhomme,9,8,3,131,40,26.2,84,155.95,0,0,4,10,9,7,15,129,2,0,64.5,8.6,45,0,0,0
Colin Munro,5,5,0,63,33,12.6,41,153.65,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0
Corey Anderson,3,3,0,17,15,5.66,22,77.27,0,0,0,1,3,3,8.4,115,3,0,38.33,13.26,17.33,0,0,0
D'Arcy Short,7,7,0,115,44,16.42,99,116.16,0,0,11,5,7,2,3,19,1,0,19,6.33,18,0,0,0
Dan Christian,4,3,1,26,13,13,33,78.78,0,0,0,1,4,4,11.5,101,4,0,25.25,8.53,17.75,0,0,0
David Miller,3,3,1,74,26,37,64,115.62,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0
Deepak Chahar,12,4,1,50,39,16.66,29,172.41,0,0,1,4,12,12,38.1,278,10,0,27.8,7.28,22.9,0,0,0
Deepak Hooda,9,8,4,87,32,21.75,81,107.4,0,0,2,3,9,2,3,24,0,0,0,8,0,0,0,0
Dinesh Karthik,16,16,6,498,52,49.8,337,147.77,0,2,49,16,0,0,0,0,0,0,0,0,0,0,0,0
Dwayne Bravo,16,10,6,141,68,35.25,91,154.94,0,1,8,10,16,16,53.3,533,14,0,38.07,9.96,22.92,0,0,0
Evin Lewis,13,13,0,382,65,29.38,276,138.4,0,2,32,24,0,0,0,0,0,0,0,0,0,0,0,0
Faf du Plessis,6,6,1,162,67,32.4,129,125.58,0,1,17,6,0,0,0,0,0,0,0,0,0,0,0,0
Gautam Gambhir,6,5,0,85,55,17,88,96.59,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0
Glenn Maxwell,12,12,0,169,47,14.08,120,140.83,0,0,14,9,12,10,16,132,5,0,26.4,8.25,19.2,0,0,0
Harbhajan Singh,13,3,0,29,19,9.66,36,80.55,0,0,3,1,13,12,31.5,270,7,0,38.57,8.48,27.28,0,0,0
Hardik Pandya,13,13,4,260,50,28.88,195,133.33,0,1,20,11,13,13,42.4,381,18,0,21.16,8.92,14.22,0,0,0
Harshal Patel,5,2,1,60,36,60,33,181.81,0,0,1,6,5,5,17.3,167,7,0,23.85,9.54,15,0,0,0
Heinrich Klaasen,4,4,1,57,32,19,47,121.27,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
Ishan Kishan,14,12,0,275,62,22.91,184,149.45,0,2,22,17,0,0,0,0,0,0,0,0,0,0,0,0
Jason Roy,5,5,1,120,91,30,94,127.65,0,1,9,7,0,0,0,0,0,0,0,0,0,0,0,0
Jaydev U0dkat,15,7,3,49,26,12.25,38,128.94,0,0,6,1,15,15,50.2,486,11,0,44.18,9.65,27.45,0,0,0
Jofra Archer,10,8,3,15,8,3,21,71.42,0,0,2,0,10,10,38.5,325,15,0,21.66,8.36,15.53,0,0,0
Jos Buttler,13,13,3,548,95,54.8,353,155.24,0,5,52,21,0,0,0,0,0,0,0,0,0,0,0,0
JP Duminy,6,4,3,36,23,36,40,90,0,0,3,1,6,2,3,36,0,0,0,12,0,0,0,0
Kane Williamson ,17,17,3,735,84,52.5,516,142.44,0,8,64,28,0,0,0,0,0,0,0,0,0,0,0,0
Karun 0ir,13,12,0,301,54,25.08,221,136.19,0,2,23,13,0,0,0,0,0,0,0,0,0,0,0,0
Kedar Jadhav,1,1,1,24,24,0,22,109.09,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Kieron Pollard,9,8,1,133,50,19,100,133,0,1,10,7,0,0,0,0,0,0,0,0,0,0,0,0
Krish0ppa Gowtham,15,13,4,126,33,14,64,196.87,0,0,9,9,15,15,40,312,11,0,28.36,7.8,21.81,0,0,0
Kru0l Pandya,14,13,3,228,41,22.8,157,145.22,0,0,22,10,14,13,40.1,284,12,0,23.66,7.07,20.08,0,0,0
Lokesh Rahul,14,14,2,659,95,54.91,416,158.41,0,6,66,32,0,0,0,0,0,0,0,0,0,0,0,0
Mahipal Lomror,2,2,1,20,11,20,21,95.23,0,0,1,0,2,2,3,27,0,0,0,9,0,0,0,0
Ma0n Vohra,4,4,0,55,45,13.75,47,117.02,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0
