Country Name,1962,1967,1972,1977,1982,1987,1992,1997,2002,2007,2012
Arab World,-485569,-849826,-876979,1697107,103693,-1021606,293332,-1432980,396646,4413525,-1168750
Caribbean small states,-247909,-316430,-289373,-284532,-303086,-387993,-249602,-181604,-174651,-127609,-124122
Central Europe and the Baltics,112936,-227571,-104933,-85960,-279101,-819390,-1514119,-1176975,-593078,-811784,-770310
Early-demographic dividend,-1127882,-2453929,-3192784,-4981537,1228808,-1903124,-8288636,-7729474,-14370853,-14314078,-12621653
East Asia & Pacific,-479477,628975,-808879,-1454415,713290,392043,-2395809,-385097,-2992651,-5719538,-1457489
East Asia & Pacific (excluding high income),-1086544,-582028,-1239154,-1912183,-525665,-390019,-3110397,-1362174,-4975250,-8308340,-3728059
East Asia & Pacific (IDA & IBRD countries),-1086544,-582028,-1239154,-1912183,-525665,-390019,-3110397,-1362174,-4975250,-8308340,-3728059
Euro area,974732,247447,2255999,1627705,745736,2441366,4907571,2840300,6201684,4638063,1575613
Europe & Central Asia,1533274,377468,2318325,1429251,833519,949003,1950916,480855,6969397,7418656,5547385
Europe & Central Asia (excluding high income),10238,224818,31783,-202389,237484,-1406767,-3419220,-2809431,-793952,58963,2121162
Europe & Central Asia (IDA & IBRD countries),1896,80479,-157523,-290303,209962,-1839608,-3803301,-3241492,-758482,41666,2027353
European Union,1217105,23657,2173816,1548770,265084,1796483,4201189,2448237,6933624,5884417,2324066
Fragile and conflict affected situations,-118109,-157483,-556738,-100562,-4786010,-4143997,1012375,-2845812,-1638769,-2889159,-4018991
Heavily indebted poor countries (HIPC),-274305,-253406,-1164717,-3255550,-5433668,-2700825,3134824,-2697152,-1375699,-3090205,-2672487
High income,3573488,3635870,7145777,7928492,7164586,8638343,11617847,14460563,18497281,22686636,15359563
Late-demographic dividend,-2291864,-1635843,-2129860,-1739365,-969708,-1703926,-4814532,-2127648,-642281,927371,1194303
Latin America & Caribbean,-1400307,-2001834,-2220184,-3146290,-3443208,-3509490,-3239912,-4325806,-5546821,-2675725,-2081948
