Perfume,Measurement1,Measurement2,Measurement3,Measurement4,Measurement5,Measurement6,Measurement7,Measurement8,Measurement9,Measurement10,Measurement11,Measurement12,Measurement13,Measurement14,Measurement15,Measurement16,Measurement17,Measurement18,Measurement19,Measurement20,Measurement21,Measurement22,Measurement23,Measurement24,Measurement25,Measurement26,Measurement27,Measurement28
ajayeb,"64,558","64,556","64,543","64,543","64,541","64,543","64,543","64,541","64,541","64,541","64,541","64,541","64,541","64,528","64,528","63,529","63,529","64,541","64,541","64,541","64,541","64,541","64,541","64,541","64,528","64,528","64,528","64,528"
ajmal,"60,502","60,489","61,485","60,487","61,485","61,513","60,515","60,500","60,500","60,487","60,500","61,526","60,528","60,528","60,528","60,500","61,483","61,485","60,472","60,472","60,461","61,470","60,487","60,487","61,485","60,487","60,472","60,472"
amreaj,"57,040","57,040","57,040","58,041","58,041","58,041","58,041","57,042","57,042","58,043","58,043","58,043","58,043","58,043","57,042","58,041","58,041","58,041","58,041","58,041","58,041","58,041","58,041","58,041","58,041","58,041","58,041","58,041"
aood,"71,083","72,087","71,091","71,095","71,099","72,103","71,099","72,099","72,099","73,098","72,094","73,094","72,091","72,091","72,091","72,095","72,095","72,095","72,095","71,095","71,095","72,103","71,103","71,103","71,103","72,103","72,103","72,098"
asgar_ali,"68,209","68,209","68,216","68,216","68,223","68,223","68,223","68,223","68,230","68,230","68,230","68,230","68,230","68,230","68,223","68,223","68,223","68,223","68,230","67,224","67,217","67,217","68,223","68,223","68,223","68,223","68,223","68,230"
bukhoor,"71,046","71,046","71,046","71,046","71,046","71,046","71,046","71,046","71,046","70,046","69,046","70,046","70,046","69,046","69,046","70,048","70,048","70,048","70,049","70,049","70,049","70,048","70,049","70,048","70,046","70,046","70,048","71,048"
burberrry,"61,096","61,096","60,093","60,092","60,093","60,093","61,096","61,096","61,096","61,096","60,092","60,092","60,092","60,092","61,092","61,092","60,089","60,089","60,089","60,089","60,089","60,092","60,089","60,089","60,089","61,088","61,088","60,089"
dehenalaod,"68,132","69,137","69,137","68,137","68,137","69,142","69,142","68,137","68,137","68,137","69,142","69,142","69,142","69,142","69,142","68,142","68,142","69,142","69,142","69,142","69,142","69,142","69,142","68,137","69,137","69,137","69,137","69,136"
junaid,"71,590","71,575","71,574","71,560","71,560","71,559","72,573","71,559","71,559","71,559","71,559","72,588","72,588","72,587","72,573","72,572","72,571","72,557","72,557","72,556","72,556","72,557","72,556","72,542","72,542","72,556","72,556","72,556"
kausar,"74,631","74,649","74,650","74,650","74,650","74,632","74,632","74,632","73,633","73,650","73,650","74,667","74,667","73,650","73,633","73,617","73,617","73,617","73,617","73,585","73,584","73,600","73,601","73,601","73,585","73,585","73,585","73,585"
rose,"62,999","62,999","62,999","62,999","62,999","62,999","61,999","62,999","62,999","62,999","62,999","62,999","61,999","62,999","62,999","62,999","62,999","62,999","62,999","62,999","62,999","62,999","62,999","61,999","62,999","62,999","62,999","61,999"
solidmusk,"46,014","46,014","46,014","46,014","46,014","46,015","46,015","46,015","46,015","46,015","46,015","46,015","46,015","46,015","46,015","46,015","46,015","46,015","46,015","46,015","46,015","46,015","46,015","46,015","46,015","46,015","46,015","46,015"
TeaTreeOil,"82,394","82,382","82,383","82,372","82,382","82,372","82,416","82,440","82,428","82,416","82,382","82,372","82,383","82,394","82,405","82,394","82,382","82,383","82,383","82,383","82,394","82,394","82,394","82,394","82,383","83,382","82,372","82,361"
raspberry,"78,999","78,999","78,999","78,999","79,999","78,999","78,999","78,999","79,999","78,999","78,999","78,999","78,999","79,999","79,999","78,999","78,999","79,999","79,999","78,999","79,999","79,999","79,999","79,999","79,999","79,999","78,999","78,999"
RoseMusk,"85,056","85,056","85,056","85,056","85,056","85,056","85,056","85,056","85,056","85,056","85,056","85,056","85,056","85,056","85,056","85,056","85,056","85,056","85,056","85,056","85,056","85,056","85,056","85,056","85,056","85,056","85,056","85,056"
strawberry,"71,999","71,999","71,999","70,999","71,999","71,999","71,999","71,999","71,999","71,999","71,999","71,999","71,999","70,999","70,999","70,999","71,999","71,999","71,999","70,999","71,999","71,999","71,999","70,999","70,999","70,999","70,999","70,999"
constrected2,"66,805","65,808","65,808","66,805","66,805","65,785","65,785","65,785","65,785","66,782","65,765","66,763","66,760","66,760","66,760","66,739","66,722","66,722","66,722","67,736","66,719","66,719","66,701","66,701","67,717","66,701","66,698","66,698"
carolina_herrera,"63,076","63,072","64,072","64,068","63,065","64,065","65,064","64,061","65,061","63,062","63,062","63,062","64,065","63,058","65,061","65,061","65,058","65,057","65,055","66,054","66,054","65,055","65,055","64,055","63,052","64,052","63,052","63,052"
oudh_ma'alattar,"67,197","67,197","67,204","67,210","67,204","67,204","67,210","67,210","67,210","67,210","67,204","66,198","67,197","67,197","66,198","67,203","67,203","66,198","66,198","66,204","67,211","66,204","67,217","66,211","66,212","66,211","66,211","67,218"
constrected,"65,151","66,151","66,151","66,151","65,146","66,151","65,146","65,146","65,146","65,146","65,146","65,146","65,146","65,146","65,146","65,146","65,146","65,146","66,145","66,145","66,145","66,145","66,145","66,145","66,145","66,145","66,145","66,150"
