Country Name,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Arab World,2.74199628,2.769514737,2.792110066,2.811905627,2.828133453,2.850382764,2.867694069,2.861356042,2.826981786,2.780841042,2.711015701,2.680280945,2.715615814,2.831107774,2.991626687,3.15999943,3.289159357,3.354156427,3.338853026,3.270400831,3.191775213,3.125531259,3.063595741,2.989605823,2.988357321,2.943080961,2.864969388,2.807150613,2.735248955,3.671758739,2.725464817,1.860977673,2.67260976,2.62523494,3.14325636,2.308916348,2.217596871,2.135612223,2.115794462,2.113469929,2.120518793,2.127013875,2.157238483,2.220470279,2.298885547,2.385158814,2.449254602,2.469809893,2.424469005,2.335303138,2.242794831,2.152383964,2.088282938,2.050000482,2.02999099
Caribbean small states,1.91175453,1.931196218,1.893275337,1.771979539,1.605163174,1.448561293,1.298572638,1.19617707,1.164616977,1.17862547,1.186666975,1.2033139,1.207246519,1.183558006,1.146687442,1.12297111,1.082507908,1.068043878,1.097577159,1.145597733,1.107270673,1.220280067,1.222571485,1.138692483,0.945344708,0.77557642,0.558894517,0.389648661,0.62941342,0.619973216,0.694084661,0.75863025,0.806099414,0.828196645,0.831643619,0.976794318,0.871246779,0.832308676,0.72995086,0.67111833,0.662228981,0.540211015,0.530404538,0.545254377,0.57394967,0.607069868,0.63395503,0.649816831,0.64922706,0.636538602,0.614597358,0.585947157,0.557090938,0.531885155,0.514897138
Central Europe and the Baltics,0.914136246,0.84323103,0.893253758,0.934352391,0.764829098,0.735035698,0.930800526,0.864361083,0.735317119,0.538686077,0.510108128,0.727239458,0.754179825,0.816586988,0.898741196,0.882386776,0.789416924,0.683625295,0.589269317,0.604265262,0.584692493,0.543728867,0.516003436,0.485831335,0.46587063,0.445181677,0.409234111,0.3552718,0.101950037,-0.050197931,-0.411135379,-0.258235426,0.068928287,-0.056222909,-0.096668256,-0.318541312,-0.094926123,-0.230120672,-0.10482367,-0.629930152,-0.547926885,-0.63319289,-0.298599209,-0.260821658,-0.258820915,-0.240341382,-0.46678507,-0.358131538,-0.192447805,-0.362709819,-0.353691942,-0.229154984,-0.21320183,-0.209757193,-0.171543531
Early-demographic dividend,2.378681034,2.39931814,2.411945396,2.425628569,2.43570684,2.442854603,2.455313833,2.457393339,2.46555824,2.473326877,2.481722979,2.484838032,2.487550866,2.477366354,2.464943303,2.448307012,2.435305804,2.439361369,2.467035191,2.504765927,2.540906775,2.563944234,2.568181787,2.547719618,2.511877177,2.471171464,2.430038594,2.37771852,2.3137128,2.345212476,2.183552259,2.113930601,2.059306537,2.02162558,1.998188618,1.981568874,1.958545102,1.922630785,1.875955852,1.830309241,1.769878802,1.707697421,1.669572148,1.639983975,1.617038175,1.596280887,1.5763388,1.557347834,1.538742355,1.528733781,1.507963432,1.476112296,1.457398783,1.438927072,1.419335509
East Asia & Pacific,0.317911763,1.356230012,2.403411039,2.313425594,2.356413683,2.604640326,2.45824209,2.434868554,2.665622867,2.599154401,2.609882936,2.409071686,2.237550013,2.173175272,1.923100403,1.68231229,1.562562726,1.530149315,1.533781473,1.479328382,1.503496976,1.621178211,1.592012764,1.491405256,1.510100176,1.58871607,1.650858308,1.63806412,1.575438451,1.497322656,1.417219796,1.305117719,1.240373506,1.225649142,1.201414106,1.16967711,1.132230273,1.08230574,1.004875845,0.948112468,0.906126562,0.851739792,0.804745429,0.769155037,0.747055753,0.726182086,0.68722939,0.689983473,0.667170738,0.658737949,0.657531253,0.66816931,0.670720672,0.673392609,0.66791909
East Asia & Pacific (excluding high income),-0.079006418,1.296143364,2.523382096,2.423563039,2.473766825,2.78234994,2.620547997,2.651257962,2.748370295,2.763209654,2.751474775,2.530665414,2.390331781,2.209323926,1.96294671,1.775138811,1.617225313,1.58707372,1.58361648,1.532044509,1.55376627,1.695295514,1.674854215,1.574893139,1.606765139,1.696810059,1.77418254,1.762720983,1.688582881,1.605035545,1.510836333,1.392196171,1.322667749,1.297983254,1.259351895,1.225243229,1.200045975,1.14748046,1.072956493,1.003855476,0.951233485,0.900987436,0.858961119,0.827073513,0.805588671,0.765653358,0.72506627,0.709330782,0.6993534,0.695364086,0.703515597,0.71422795,0.719968203,0.724411552,0.716282669
East Asia & Pacific (IDA & IBRD countries),-0.107329702,1.289912491,2.535190586,2.431765718,2.477868938,2.785654179,2.618512449,2.647680752,2.74582092,2.76189257,2.750985566,2.528252998,2.388213209,2.208290437,1.962845849,1.777133789,1.621014464,1.592632871,1.589047063,1.535191103,1.55512354,1.696922166,1.675308967,1.574145601,1.607186883,1.699343903,1.778355204,1.76697442,1.691553242,1.606299677,1.510121681,1.389532355,1.319418456,1.295682724,1.258451042,1.226031756,1.202345704,1.150397206,1.075445276,1.005464008,0.952006482,0.901148164,0.858885759,0.827296057,0.806501991,0.76707433,0.726807149,0.711454799,0.701585496,0.697528364,0.705690137,0.716500291,0.72231863,0.726911404,0.718837491
Euro area,0.915162028,0.933264675,0.943908119,0.918273833,0.898572605,0.824449774,0.702145841,0.656616278,0.664905192,0.546130262,0.550937972,0.671016295,0.636204665,0.573969272,0.52539268,0.458445469,0.411064335,0.441912314,0.397847325,0.399053479,0.386764168,0.260394909,0.197216404,0.167134019,0.192408845,0.25498383,0.282357974,0.344730368,0.443516655,0.477034872,0.369763937,0.444903591,0.383642845,0.264896485,0.231440204,0.235614834,0.218781836,0.202458368,0.268635563,0.380737824,0.453977489,0.519014037,0.543702677,0.551527808,0.517998945,0.467605502,0.519429792,0.488714534,0.324025017,0.235351794,0.237331746,-0.231136771,0.771583514,-0.040787553,0.238599562
Europe & Central Asia,1.153131488,1.175722162,1.170063488,1.143129543,1.093605229,0.941341379,0.903169394,0.859623649,0.838406389,0.74449951,0.765678765,0.855426882,0.809487994,0.775891854,0.744535855,0.722450037,0.684659712,0.683100228,0.663323921,0.677197954,0.670848413,0.5961253,0.570879259,0.593711565,0.6034539,0.616723344,0.617745864,0.618903257,0.620135526,0.520459295,0.393311204,0.401738569,0.352965162,0.217193036,0.178102542,0.140558278,0.160661274,0.125768026,0.136240591,0.127467975,0.174324826,0.196539903,0.263934913,0.29912655,0.304850488,0.308847774,0.344167043,0.398143732,0.414409303,0.394863511,0.420505401,0.250235731,0.649445744,0.346851904,0.437650811
Europe & Central Asia (excluding high income),1.550821323,1.534017482,1.514809889,1.483051942,1.433916734,1.183561734,1.187035908,1.145161059,1.118164419,1.073470579,1.125326558,1.17303989,1.111789436,1.102361503,1.087463167,1.110793558,1.071819955,1.044081559,1.028781259,1.052315832,1.066972125,1.010596924,0.99885552,1.057912933,1.050040149,1.030478874,1.01564806,0.972215134,0.915918797,0.659633698,0.509937485,0.412479205,0.316348895,0.160579473,0.112901191,0.098310053,0.09962181,0.071507111,0.0036819,0.037322098,-0.059343401,-0.074687411,0.042399766,0.093240002,0.107739253,0.142359706,0.147354249,0.266033838,0.448307081,0.524847878,0.582890314,0.593438723,0.642403375,0.629756911,0.575570336
