Country Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Arab World,2.004867785,2.014602428,2.071308732,2.177711645,2.331000345,2.3335961,2.58875078,2.54023836,2.450414915,2.314914077,2.134281009,2.133037666,2.16687238,2.101232726,2.830066845,2.489631457,2.539570311,2.711261979,2.895427378,3.073160994
Caribbean small states,2.801518371,2.856683624,2.997156669,2.9894512,2.767857719,2.826752141,2.679968753,2.888692649,2.740592575,2.845970706,2.629579982,2.650899715,2.79066499,2.822913122,3.408651206,3.264063783,3.08765286,3.314303084,3.318431579,3.260012318
Central Europe and the Baltics,4.678528481,4.753208836,4.604573867,4.499987761,4.679082306,4.539710822,4.666272389,4.900195789,5.100249244,4.913629428,4.970861411,4.841450127,4.80905668,5.054785185,5.394920628,5.284380429,5.096212404,5.041317268,5.029265785,5.017716676
Early-demographic dividend,2.203164007,2.156631825,2.227311469,2.364099533,2.454393636,2.450554821,2.52708105,2.347701787,2.36326343,2.346823705,2.337346649,2.369883662,2.385250838,2.405125681,2.701259981,2.507130871,2.495490968,2.497340218,2.586701422,2.665602603
East Asia & Pacific,4.429089623,4.203151524,4.244351189,4.453983768,4.626919635,4.688849242,4.684790174,4.613537069,4.635098319,4.626696416,4.566215205,4.367145726,4.29739389,4.43484819,4.865241195,4.775817144,4.871726678,4.866869481,4.643220952,4.571447568
East Asia & Pacific (excluding high income),1.615852443,1.640251145,1.678322108,1.764602604,1.75401335,1.689184662,1.626887281,1.736855763,1.808637371,1.815666676,1.79631989,1.875267093,2.076666145,2.256213902,2.574993747,2.53842979,2.669787471,2.811489713,2.881804892,2.975050955
East Asia & Pacific (IDA & IBRD countries),1.615852443,1.640251145,1.678322108,1.764602604,1.75401335,1.689184662,1.626887281,1.736855763,1.808637371,1.815666676,1.79631989,1.875267093,2.076666145,2.256213902,2.574993747,2.53842979,2.669787471,2.811489713,2.881804892,2.975050955
Euro area,6.716641592,6.819911767,6.775234334,6.713451942,6.707802202,6.725721019,6.824762086,6.970490716,7.100569779,7.08237852,7.243410635,7.275136727,7.183725909,7.419702701,8.060334166,7.985294914,7.851059524,7.904805463,7.961558065,8.001479856
Europe & Central Asia,6.258717593,6.339840985,6.249748329,6.19495497,6.269452692,6.207590774,6.357420652,6.543767225,6.68023106,6.643569576,6.70922848,6.691295997,6.590409565,6.775062286,7.489585233,7.256678468,7.09676356,7.10705862,7.143518692,7.184029645
Europe & Central Asia (excluding high income),3.401579475,3.407895899,4.035214654,3.412752376,3.222938325,3.167155481,3.357613026,3.60566463,3.621672658,3.472982334,3.506735617,3.566116863,3.635780114,3.735160497,4.21818788,3.878112626,3.652835087,3.780159969,3.736001803,3.714756912
Europe & Central Asia (IDA & IBRD countries),3.537976062,3.612690525,4.047882124,3.552856873,3.480764641,3.385148495,3.605372687,3.816964108,3.794325476,3.642164316,3.681588419,3.721762687,3.798181616,3.951117848,4.401010223,4.068056417,3.818966004,3.901665904,3.8579794,3.846191068
European Union,6.506458015,6.584349032,6.447821826,6.395838336,6.453924272,6.439900116,6.570972316,6.747120362,6.899522023,6.910963847,7.051118847,7.087790266,7.002368178,7.256592777,7.936430029,7.820468929,7.744258462,7.79306822,7.836953657,7.818446175
Heavily indebted poor countries (HIPC),1.630562619,1.716749234,1.65244635,1.771870257,1.834357688,1.79637023,2.015090682,2.068192564,2.166901816,2.216858939,2.345166979,2.448883492,2.302461909,2.429057526,2.539924114,2.712862763,2.661827679,2.58866833,2.580611781,2.532968767
High income,5.852818659,5.861951134,5.81180873,5.837542174,5.859037054,5.853669229,6.131478777,6.354331656,6.509857349,6.545027624,6.604202186,6.657364768,6.685402534,6.945781465,7.638854311,7.562423022,7.546564171,7.556054525,7.573148687,7.658650567
Late-demographic dividend,2.749846218,2.750524463,2.94232719,2.795476042,2.721888766,2.549559637,2.589519016,2.719474646,2.735925695,2.744432242,2.775096107,2.818204592,2.932192624,3.090526918,3.408418886,3.27272891,3.265710729,3.349820181,3.376662873,3.426925252
Latin America & Caribbean,2.984770895,2.901770401,2.990421248,3.029994934,3.235733893,3.060692666,3.144669013,2.998687771,3.012572927,3.077505076,3.161939378,3.160841176,3.255992195,3.335194417,3.811994981,3.638688734,3.592871857,3.509236607,3.619142786,3.73231283
Latin America & Caribbean (excluding high income),2.996164912,2.906639809,3.008480229,3.040838015,3.247512819,3.059905096,3.146714937,2.987106874,3.037261298,3.070576321,3.166319862,3.167769379,3.275389189,3.337349586,3.804703623,3.638582097,3.591022045,3.496118138,3.606970928,3.707311084
Latin America & the Caribbean (IDA & IBRD countries),2.956811011,2.877788112,2.968040205,3.004957842,3.20538333,3.027071197,3.107585736,2.949442821,2.962835975,3.036156959,3.075373169,3.095616092,3.153372508,3.238999784,3.700609301,3.563297454,3.516540068,3.452393518,3.551660225,3.731808003
Least developed countries: UN classification,1.52548196,1.429737092,1.430388652,1.471607242,1.522391719,1.465800489,1.689041896,1.690471391,1.800899345,1.880999571,1.898899247,2.157903627,1.913854693,2.140700178,2.172629716,2.198171697,2.177006608,1.96354228,2.031209935,1.919877296
Low & middle income,2.401016022,2.351839879,2.507134082,2.465439942,2.427530862,2.34705236,2.376884847,2.345132586,2.384587803,2.407614177,2.458114132,2.506991643,2.605219739,2.734475624,3.005713015,2.869481703,2.894131937,2.956696704,3.013086221,3.038318286
Low income,1.530125029,1.483895647,1.521128519,1.657153759,1.738222289,1.759789648,2.034208573,2.063321574,2.217968593,2.32876762,2.458480802,2.691171989,2.317963439,2.365497375,2.421492262,2.642192573,2.659363723,2.511732098,2.394346629,2.43910583
Lower middle income,1.382172017,1.344572554,1.355006184,1.431021222,1.388854277,1.384144461,1.428883153,1.380571025,1.384180988,1.400072101,1.428082042,1.478788431,1.521790939,1.559230946,1.588440741,1.513129967,1.519120119,1.581264954,1.639779694,1.635832962
Middle East & North Africa,2.423456889,2.430438328,2.520586788,2.585412087,2.614487018,2.609441929,2.869833259,2.818405786,2.735597223,2.572309842,2.411219853,2.45275055,2.439045576,2.352177305,3.016616398,2.714642506,2.711284804,2.895571978,3.06782614,3.224936356
Middle East & North Africa (excluding high income),1.986615421,2.000319073,2.116533205,2.180356186,2.073848436,2.15353996,2.406185927,2.452578692,2.404325255,2.413375024,2.277110381,2.33316934,2.38604766,2.484023619,2.883655535,2.674039179,2.666316001,2.946036225,3.113361581,3.195117055
