Date,Total
7/8/2021,3773
7/9/2021,3172
7/10/2021,2079
7/11/2021,2725
7/12/2021,4542
7/13/2021,3795
7/14/2021,3941
7/15/2021,4064
7/16/2021,3474
7/17/2021,2093
7/18/2021,2426
7/19/2021,4339
7/20/2021,4064
7/21/2021,4224
7/22/2021,4603
7/23/2021,4369
7/24/2021,2532
7/25/2021,3276
7/26/2021,4917
7/27/2021,4430
7/28/2021,4977
7/29/2021,5193
7/30/2021,4001
7/31/2021,1996
8/1/2021,2538
8/2/2021,4764
8/3/2021,5651
8/4/2021,5777
8/5/2021,4789
8/6/2021,3782
8/7/2021,1920
8/8/2021,2526
8/9/2021,4481
8/10/2021,6034
8/11/2021,5006
8/12/2021,4450
8/13/2021,3112
8/14/2021,1914
8/15/2021,2359
8/16/2021,3948
8/17/2021,5727
8/18/2021,6365
8/19/2021,6323
8/20/2021,5151
8/21/2021,1947
8/22/2021,3128
8/23/2021,7999
8/24/2021,7104
8/25/2021,6457
8/26/2021,6643
8/27/2021,5355
8/28/2021,2341
8/29/2021,2367
8/30/2021,5592
8/31/2021,6770
9/1/2021,6877
9/2/2021,7272
9/3/2021,6279
9/4/2021,2741
9/5/2021,2483
9/6/2021,5456
9/7/2021,6082
9/8/2021,6139
9/9/2021,5865
9/10/2021,6362
9/11/2021,3132
9/12/2021,2681
9/13/2021,5788
9/14/2021,7001
9/15/2021,6721
9/16/2021,7556
9/17/2021,7278
9/18/2021,4026
9/19/2021,3514
9/20/2021,6476
9/21/2021,7863
9/22/2021,8418
9/23/2021,8290
9/24/2021,7189
9/25/2021,3567
9/26/2021,4088
9/27/2021,7418
9/28/2021,8765
9/29/2021,7798
9/30/2021,9212
10/1/2021,7115
10/2/2021,3903
10/3/2021,5038
10/4/2021,7843
10/5/2021,8872
