CAT_1_Freq,CAT_2_Freq,CAT_3_Freq,Next_Question
0.483695652,0.391304348,0.125,1
0.316582915,0.286432161,0.396984925,2
0.267175573,0.534351145,0.198473282,1
0.52173913,0.417391304,0.060869565,1
0.476923077,0.446153846,0.076923077,1
0.489795918,0.020408163,0.489795918,1
0.19375,0.2,0.60625,2
0.007518797,0.353383459,0.639097744,2
0.555555556,0.349206349,0.095238095,1
0.127118644,0.457627119,0.415254237,1
0.130434783,0.217391304,0.652173913,3
0.021582734,0.395683453,0.582733813,1
0.091666667,0.225,0.683333333,2
0.422764228,0.211382114,0.365853659,1
0.027272727,0.554545455,0.418181818,1
0.098765432,0.351851852,0.549382716,3
0.318181818,0.435064935,0.246753247,3
0.303030303,0.206060606,0.490909091,1
0.333333333,0.339506173,0.327160494,2
0.169590643,0.263157895,0.567251462,2
0.109090909,0.418181818,0.472727273,2
0.139240506,0.46835443,0.392405063,1
0.46039604,0.277227723,0.262376238,1
0.25210084,0.731092437,0.016806723,1
0.641509434,0.132075472,0.226415094,1
0.105769231,0.596153846,0.298076923,1
0.3,0.184615385,0.515384615,1
0.172413793,0.540229885,0.287356322,1
0.356862745,0.298039216,0.345098039,1
0.035714286,0.589285714,0.375,2
0.109090909,0.690909091,0.2,1
0.22972973,0.189189189,0.581081081,2
0.297297297,0.175675676,0.527027027,1
0.294736842,0.010526316,0.694736842,3
0.535947712,0.202614379,0.261437908,1
0.293706294,0.475524476,0.230769231,1
0.689655172,0.229885057,0.08045977,1
0.213483146,0.230337079,0.556179775,2
0.311377246,0.407185629,0.281437126,1
0.224489796,0.387755102,0.387755102,1
0.145631068,0.436893204,0.417475728,1
0.166666667,0.777777778,0.055555556,1
0.75,0.125,0.125,2
0.477987421,0.06918239,0.452830189,1
0.45212766,0.026595745,0.521276596,2
0.201438849,0.107913669,0.690647482,2
0.598802395,0.017964072,0.383233533,2
0.127819549,0.69924812,0.172932331,2
0.448598131,0.065420561,0.485981308,2
0.399061033,0.262910798,0.338028169,2
0.149171271,0.303867403,0.546961326,1
0.177777778,0.555555556,0.266666667,1
0.0125,0.575,0.4125,1
0.532051282,0.352564103,0.115384615,1
0.375,0.566666667,0.058333333,1
0.76,0.026666667,0.213333333,1
0.291187739,0.356321839,0.352490421,1
0.222222222,0.314814815,0.462962963,2
0.140495868,0.719008264,0.140495868,1
0.326732673,0.118811881,0.554455446,2
0.633802817,0.295774648,0.070422535,1
0.276595745,0.425531915,0.29787234,2
0.109756098,0.487804878,0.402439024,1
0.458823529,0.188235294,0.352941176,1
0.571428571,0.178571429,0.25,3
0.259493671,0.563291139,0.17721519,1
0.283333333,0.608333333,0.108333333,1
0.34741784,0.192488263,0.460093897,1
0.113772455,0.311377246,0.574850299,3
0.073033708,0.382022472,0.54494382,1
0.480446927,0.335195531,0.184357542,1
0.317829457,0.360465116,0.321705426,3
0.05,0.49,0.46,3
0.117647059,0.661764706,0.220588235,1
0.449275362,0.096618357,0.45410628,1
0.087209302,0.424418605,0.488372093,1
0.451456311,0.165048544,0.383495146,1
0.054945055,0.714285714,0.230769231,1
0.014492754,0.427536232,0.557971014,3
0.22147651,0.255033557,0.523489933,2
0.263888889,0.569444444,0.166666667,1
0.414814815,0.311111111,0.274074074,1
0.056603774,0.330188679,0.613207547,1
0.320197044,0.487684729,0.192118227,1
0.464052288,0.117647059,0.418300654,1
0.322916667,0.552083333,0.125,1
0.323943662,0.64084507,0.035211268,1
0.141509434,0.622641509,0.235849057,1
0.210526316,0.714285714,0.07518797,1
0.414746544,0.253456221,0.331797235,1
0.371040724,0.36199095,0.266968326,1
0.126436782,0.413793103,0.459770115,1
0.111111111,0.302469136,0.586419753,2
0.136986301,0.849315068,0.01369863,1
0.419689119,0.191709845,0.388601036,2
0.373786408,0.276699029,0.349514563,1
0.237837838,0.372972973,0.389189189,2
0.53125,0.0703125,0.3984375,1
0.318471338,0.324840764,0.356687898,1
0.321428571,0.339285714,0.339285714,1
0.292307692,0.420512821,0.287179487,1
0.071428571,0.380952381,0.547619048,2
0.78,0.12,0.1,1
0.217948718,0.33974359,0.442307692,1
0.271428571,0.071428571,0.657142857,2
0.761538462,0.069230769,0.169230769,1
0.516556291,0.456953642,0.026490066,1
0.115044248,0.831858407,0.053097345,1
0.406698565,0.311004785,0.282296651,1
0.566176471,0.294117647,0.139705882,1
0.169642857,0.071428571,0.758928571,2
0.329842932,0.261780105,0.408376963,1
0.060606061,0.181818182,0.757575758,2
0.426540284,0.241706161,0.331753555,2
0.6,0.381818182,0.018181818,1
0.4125,0.1375,0.45,2
