year,month,text,PX_LAST
2019,9,"To show you how dishonest the LameStream Media is I used the word Liddle’ not Liddle in discribing Corrupt Congressman Liddle’ Adam Schiff. Low ratings @CNN purposely took the hyphen out and said I spelled the word little wrong. A small but never ending situation with CNN!,Obama loving (wrote Obama book) Peter Baker of the Failing New York Times married to an even bigger Trump Hater than himself should not even be allowed to write about me. Every story is a made up disaster with sources and leakers that don’t even exist. I had a simple and very..,.....nice call with with the new President of Ukraine it could not have been better or more honorable and the Fake News Media and Democrats working as a team have fraudulently made it look bad. It wasn’t bad it was very legal and very good. A continuing Witch Hunt!,Rep. Adam Schiff fraudulently read to Congress with millions of people watching a version of my conversation with the President of Ukraine that doesn’t exist. He was supposedly reading the exact transcribed version of the call but he completely changed the words to make it....,....sound horrible an me sound guilty. HE WAS DESPERATE AND HE GOT CAUGHT. Adam Schiff therefore lied to Congress and attempted to defraud the American Public. He has been doing this for two years. I am calling for him to immediately resign from Congress based on this fraud!,...sound horrible and me sound guilty. HE WAS DESPERATE AND HE GOT CAUGHT. Adam Schiff therefore lied to Congress and attempted to defraud the American Public. He has been doing this for two years. I am calling for him to immediately resign from Congress based on this fraud!,Rep. Adam Schiff fraudulently read to Congress with millions of people watching a version of my conversation with the President of Ukraine that doesn’t exist. He was supposedly reading the exact transcribed version of the call but he completely changed the words to make it...,Iran wanted me to lift the sanctions imposed on them in order to meet. I said of course NO!,“IT WAS A PERFECT CONVERSATION WITH UKRAINE PRESIDENT!”,Rep. Adam Schiff totally made up my conversation with Ukraine President and read it to Congress and Millions. He must resign and be investigated. He has been doing this for two years. He is a sick man!,The Democrats are now to be known as the DO NOTHING PARTY!,Sounding more and more like the so-called Whistleblower isn’t a Whistleblower at all. In addition all second hand information that proved to be so inaccurate that there may not have even been somebody else a leaker or spy feeding it to him or her? A partisan operative?",2961.79
2019,9,"RT @realDonaldTrump: Sooooo true @LindseyGrahamSC! https://t.co/ZzFwXHV5ua,RT @realDonaldTrump: Thank you @kevinomccarthy! https://t.co/DhcGpWEOME,RT @realDonaldTrump: There has been no President in the history of our Country who has been treated so badly as I have. The Democrats are f…,RT @AriFleischer: “Hunter took the position with a Ukrainian natural gas company just a few weeks after his father visited Ukraine in 2014…,RT @RealSaavedra: NEW: Democrat Senators reached out to Ukraine in May 2018 and asked for their assistance in investigating Trump“In the…,So cute! Her father is under siege for no reason since his first day in office! https://t.co/8wtB3H4fth,So bad for our Country! https://t.co/BzICeKn8hY,RT @realDonaldTrump: “The Democrats have been talking about Impeaching Donald Trump since before he was inaugurated.” @SteveDoocy  @foxandf…,RT @DonaldJTrumpJr: Watching the media circle the wagons and desperately try to defend the Biden family for things they try to kill my fami…,If they actually did this the markets would crash. Do you think it was luck that got us to the best Stock Market and Economy in our history. It wasn’t! https://t.co/V0WGVWEWTN,RT @DonaldJTrumpJr: Are you saying the Democrats started an all out move towards impeachment without even seeing the transcript? https://t.…,RT @DonaldJTrumpJr: Yikes!!! https://t.co/uxIeBmTtRl,RT @realDonaldTrump: “Democrats wrote to the Ukrainian government in May 2018 urging it to continue investigations into President Donald Tr…,Thank you Jim! https://t.co/9ldr6iSdpl,RT @DonaldJTrumpJr: KASSAM: Trump Transcript Shows Him Trying To Stop Corruption Nothing Else https://t.co/nEgLq8pITV via @dailycaller,RT @DonaldJTrumpJr: ?????? We should impeach them all. That's how this works right? Given their rules its a no brainer since there's an actua…,RT @realDonaldTrump: https://t.co/VmHKZpuPs4,RT @realDonaldTrump: https://t.co/U4PIG5LPlX,THE GREATEST SCAM IN THE HISTORY OF AMERICAN POLITICS!,RT @CBSNews: Ukrainian President Volodymyr Zelensky says he doesn't want to be involved in US elections and he didn't feel pushed during…,RT @KellyannePolls: cc: Everybody not the Ukranian President who has been characterizing what happened in the call with the Ukrainian Presi…,RT @RepChuck: Speaker Pelosi: Focused on taking down @realDonaldTrump at any cost.@POTUS: Focused on securing better trade deals for hard…,RT @Jim_Jordan: Dems are basing their impeachment dreams on a “whistleblower” who:-Did not have direct knowledge of the Ukraine call-Had…,RT @VP: The ironic thing is that the only time it did happen that we know about is when former Vice President Joe Biden threatened over a b…,RT @VP: …and even though she knew the transcript was going to be released today Speaker Nancy Pelosi initiates an impeachment inquiry into…,RT @realDonaldTrump: https://t.co/hkI6Su3hSR,RT @VP: ...They can’t run against this President’s record...a record of accomplishment...so they decided to look for one more way to try to…,RT @JesseBWatters: President @realDonaldTrump has taken a sledgehammer to the ruiling class and the ruling class is fighting back hard and…,RT @KellyannePolls: Pelosi’s Bad Impeachment Call by anti-Trumper in @NYT.  A Q-PAC poll found 57% of Americans oppose impeachment; 37%…,RT @DonaldJTrumpJr: Rand Paul on the Fake Witch Hunts: BASTA! https://t.co/WNEsrU5XUM,RT @DonaldJTrumpJr: Yikes! I guess the Dems no longer want to do anything about election interference. https://t.co/X52fMO3CRj,RT @JesseBWatters: When @realDonaldTrump became president his sons stopped doing international business deals; when Joe Biden became VP h…,RT @Scavino45: https://t.co/Jm5JdYcKml,RT @realDonaldTrump: So true but it will never work! https://t.co/UEi4U4lpTs,RT @realDonaldTrump: So bad for our Country! https://t.co/BzICeKn8hY,RT @VP: Tune in tonight as I join @LouDobbs! https://t.co/JOKvCtY3bM,RT @TeamTrump: Stop what you’re doing...WATCH us expose the #FakeNews Media LIES about @realDonaldTrump!They selectively deleted 500+ w…,RT @TeamTrump: VP @mike_pence: Democrats don't have an agenda that's why they want to impeach @realDonaldTrump https://t.co/El9qOb6bkq,RT @ericbolling: The downright “giddy” media hoping for @realDonaldTrump impeachment should take 3 minutes and watch this before they count…,RT @GeraldoRivera: After 3 years of relentless pursuit of @realDonaldTrump-@RepAdamSchiff (not various Democratic candidates for @POTUS) wi…,RT @DonaldJTrumpJr: For 2.5 years we were told there was collusion then obstruction then it was a cover-up... rinse and repeat. Seems t…,THE DEMOCRATS ARE TRYING TO DESTROY THE REPUBLICAN PARTY AND ALL THAT IT STANDS FOR. STICK TOGETHER PLAY THEIR GAME AND FIGHT HARD REPUBLICANS. OUR COUNTRY IS AT STAKE!,“Is their a case for impeachment? Absolutely not!” There is no high crimes or misdemeanors no treason no extortion no treason.” RD Robert Ray respected,“Is there a case for impeachment? Absolutely not! There is no high crime or misdemeanor no crime no extortion no treason.” Robert Ray  @FoxNews,That and many other reasons is why Republicans will win North Carolina! https://t.co/m4GNvbp7oK,A whistleblower with second hand information? Another Fake News Story! See what was said on the very nice no pressure call. Another Witch Hunt!,Adam Schiff has zero credibility. Another fantasy to hurt the Republican Party!,Liddle’ Adam Schiff who has worked unsuccessfully for 3 years to hurt the Republican Party and President has just said that the Whistleblower even though he or she only had second hand information “is credible.” How can that be with zero info and a known bias. Democrat Scam!,Congratulations to my friend @SenShelby our powerful Appropriations Chairman for his hard work on many strong bills that continue to rebuild our military invest in border security and many other priorities. Good work and keep fighting you are winning!,No one has done more behind the scenes for STRONG BORDER SECURITY than @SenCapito. Her bill passed Committee today with $5B for the BORDER WALL. West Virginia is a great State and Shelley gets it done. Keep it up!,The President of Ukraine said that he was NOT pressured by me to do anything wrong. Can’t have better testimony than that! As V.P. Biden had his son on the other hand take out millions of dollars by strong arming the Ukrainian President. Also looted millions from China. Bad!,Will be a GREAT and very accurate show tonight by @seanhannity on @foxnews (9:00 PM). Will play my full statement from Air Force One!,So many lies by Sleepy Joe and the Do Nothing Democrats! https://t.co/MY1zkMvFQW,RT @realDonaldTrump: Will be a GREAT and very accurate show tonight by @seanhannity on @foxnews (9:00 PM). Will play my full statement from…",2977.62
2019,9,"Great new book by the brilliant Andrew McCarthy BALL OF COLLUSION THE PLOT TO RIG AN ELECTION AND DESTROY A PRESIDENCY. Get it and some other great new books which I will soon be recommending. They tell you about the Crooked Pols and the Witch Hunt that has now been exposed!,There has been no President in the history of our Country who has been treated so badly as I have. The Democrats are frozen with hatred and fear. They get nothing done. This should never be allowed to happen to another President. Witch Hunt!,RT @joegooding: This “whistleblower” was found by the Intelligence Community IG to have a political bias against @POTUS @realDonaldTrump an…,RT @RepMarkMeadows: POTUS says he's releasing the full transcript of the Ukraine call and amazingly Democrats now say the whistleblower co…,RT @RepDougCollins: Speaker Pelosi’s decree changes absolutely nothing. As I have been telling Chairman Nadler for weeks merely claiming t…,“The Democrats have been talking about Impeaching Donald Trump since before he was inaugurated.” @SteveDoocy  @foxandfriends  And for no reason other than the great success we are having with the Economy the Military Vets Tax and Regulation Cuts HealthCare and so much more!,Will the Democrats apologize after seeing what was said on the call with the Ukrainian President? They should a perfect call - got them by surprise!,“Democrats wrote to the Ukrainian government in May 2018 urging it to continue investigations into President Donald Trump’s alleged collusion with Russia in the 2016 presidential campaign — collusion later found NOT TO EXIST.” https://t.co/wYdRmpfddk,“You don’t see a direct quid pro quo in this.” @BretBaier,“He (President Trump) didn’t specifically mention the explicit quid pro quo of…unless you investigate this…we’re going to withhold military aid to you.” Pamela Brown,RT @RepMattGaetz: Unprecedented and unpatriotic.Nancy Pelosi undermined the solemn duty of impeachment that a future House may have to un…,RT @RepMarkMeadows: As the left now tries to move the goalposts remember that for days all we heard was that @realDonaldTrump offered qui…,RT @RepPeteKing: Nothing remotely impeachable in transcript. Ukrainian President brought up Giuliani before @POTUS Trump mentioned Biden. N…,RT @RepMarkGreen: Once again Democrats reveal that impeachment is not really about our country but about their own imperative to maintain…,RT @RepJeffDuncan: None of what Democrats said happened on the call between @realDonaldTrump &amp; Ukrainian President Zelensky was true. No qu…,RT @EricTrump: “...involving an industry and business he knew nothing about.” It is an absolute joke. The only corruption worse than Biden’…,RT @SteveScalise: Dems launched an impeachment inquiry based on a rumor instead of waiting for the facts.It's now clear: there was no qui…,RT @KimStrassel: 1) Having read DOJ’s Trump-Ukraine release here’s the real story: This is another internal attempt to take out a presiden…,RT @RepRickAllen: Since the day President Trump was elected to office Democrats have tried to find any opportunity to undermine his presid…,RT @jmclghln: 66-29 huge majority believes the Democrats should work w/    ?@realDonaldTrump? to solve the nations problems rather than imp…,RT @SenThomTillis: Nancy Pelosi should be embarrassed. The transcript debunks the Democrats’ false claims against President @realDonaldTrum…,Wow! “Ukraine Whistleblower’s lead attorney donated to Biden.” @FreeBeacon,....taken out of Ukraine and China. Additionally I demand transparency from Democrats that went to Ukraine and attempted to force the new President to do things that they wanted under the form of political threat.,I have informed @GOPLeader Kevin McCarthy and all Republicans in the House that I fully support transparency on so-called whistleblower information but also insist on transparency from Joe Biden and his son Hunter on the millions of dollars that have been quickly and easily....,So true but it will never work! https://t.co/UEi4U4lpTs,One of our best fundraising days EVER! https://t.co/zohH8Xm5ak",2984.87
2019,9,"True. A wonderful meeting! https://t.co/W9ByXaS8Qf,RT @cspan: President Trump: I think I'll get a Nobel prize for a lot of things https://t.co/XPRfWZyYc6,Hopefully they will work it out and quickly! https://t.co/J2JGz6mfCW,RT @cspan: Q: You can authorize to release the transcript. Will you do that?President Trump: I can do it very easily but I'd rather n…,RT @RandPaul: .@realDonaldTrump is showing that real strength and statesmanship can coexist with restraint. America is unquestionably the m…,I am currently at the United Nations representing our Country but have authorized the release tomorrow of the complete fully declassified and unredacted transcript of my phone conversation with President Zelensky of Ukraine....,....You will see it was a very friendly and totally appropriate call. No pressure and unlike Joe Biden and his son NO quid pro quo! This is nothing more than a continuation of the Greatest and most Destructive Witch Hunt of all time!,THANK YOU! https://t.co/Ne2LOSAWpX,The Democrats are so focused on hurting the Republican Party and the President that they are unable to get anything done because of it including legislation on gun safety lowering of prescription drug prices infrastructure etc. So bad for our Country!,RT @GOP: ??Are YOU registered to vote??? Today is #NationalVoterRegistrationDay make sure you are registered to vote! Let’s KEEP AMERICA…,Such an important day at the United Nations so much work and so much success and the Democrats purposely had to ruin and demean it with more breaking news Witch Hunt garbage. So bad for our Country!,Pelosi Nadler Schiff and of course Maxine Waters! Can you believe this?,They never even saw the transcript of the call. A total Witch Hunt!,PRESIDENTIAL HARASSMENT!,Secretary of State Pompeo recieved permission from Ukraine Government to release the transcript of the telephone call I had with their President. They don’t know either what the big deal is. A total Witch Hunt Scam by the Democrats!,“Attorney For Anti-Trump ‘Whistleblower’ Worked For Hillary Clinton Chuck Schumer” https://t.co/yxQ5obwB6K,“Mark Levin: Media trying to protect Biden ignoring MASSIVE DEMOCRAT SCANDAL” https://t.co/9Il7wHwQ7J,They (Dems) are scrambling for a theme and narrative. They've gone everywhere from Russian Hoax to Russian Collusion...and now they've come to this...they think they should have won the 2016 election they think in their bizarre brains that they did... https://t.co/xqYFEAzT8D,Thank you @JennaEllisRives -- totally agree! https://t.co/n3GDdAHLWh,Sooooo true @LindseyGrahamSC! https://t.co/ZzFwXHV5ua,“He (Trump) has already been suffering from this type of a Witch Hunt since before his Inauguration. If it’s not one thing it’s another. It’s a DISGRACE!” @pnjaban @LouDobbs https://t.co/9I9kXo2B8V,Thank you @kevinomccarthy! https://t.co/DhcGpWEOME,Thank you @LouDobbs and @JudgeJeanine! https://t.co/LdfGFvAJNF",2966.6
2019,9,"“The very thing that they are accusing President Trump of doing (which I didn’t do) was actually done by Joe Biden. Continues to be a double standard.” @RepDevinNunes  @foxandfriends  These people are stone cold Crooked. Also who is this so-called “whistleblower” who doesn’t...,....know the correct facts. Is he on our Country’s side. Where does he come from. Is this all about Schiff &amp; the Democrats again after years of being wrong?,RT @WhiteHouse: President @realDonaldTrump just delivered a critical message on religious freedom and global persecution.Our founders un…,RT @WhiteHouse: With one clear voice the United States of America calls on the nations of the world to end religious persecution. #UNGA…,This is the real corruption that the Fake News Media refuses to even acknowledge! https://t.co/FCvUtWA33j,Thank you working hard! https://t.co/1CpxcJOtha,94% approval rating in the Republican Party. Thank you!,#UNGA https://t.co/iIZugqjEhP,“@FoxNews bombshell information reports that the so-called Whistleblower did not have firsthand knowledge of that phone conversation with Ukraine’s President.” Wow! @HARRISFAULKNER It is all a Democrat/Adam Schiff Scam! Doing this for 3 years now and found NOTHING!,She seems like a very happy young girl looking forward to a bright and wonderful future. So nice to see! https://t.co/1tQG6QcVKO,RT @hogangidley45: “Today it is my true honor to be the first President of the United States to host a meeting at the United Nations on re…",2991.78
2019,9,"Oh no really big political news perhaps the biggest story in years! Part time Mayor of New York City  @BilldeBlasio who was polling at a solid ZERO but had tremendous room for growth has shocking dropped out of the Presidential race. NYC is devastated he’s coming home!,The Radical Left Democrats and their Fake News Media partners headed up again by Little Adam Schiff and batting Zero for 21 against me are at it again! They think I may have had a “dicey” conversation with a certain foreign leader based on a “highly partisan” whistleblowers..,....statement. Strange that with so many other people hearing or knowing of the perfectly fine and respectful conversation that they would not have also come forward. Do you know the reason why they did not? Because there was nothing said wrong it was pitch perfect!,RT @FLOTUS: Welcome to the @WhiteHouse PM Morrison and Mrs. Morrison! ???????? https://t.co/kYznIkJf9H,RT @WhiteHouse: Our history is filled with the stories of courageous men and women who went beyond the call of duty to protect and defend.…,???????? https://t.co/LsGz56Zc1s,Thank you working hard! https://t.co/dDVWjm95iP,Rachel Campos-Duffy has written a wonderful book for children “Paloma Wants To Be Lady Freedom.” She and her husband Sean Duffy have done so much for our Country. Buy this book - great for the kids! https://t.co/zCYW91OSOU",2992.07
2019,9,"....Knowing all of this is anybody dumb enough to believe that I would say something inappropriate with a foreign leader while on such a potentially “heavily populated” call. I would only do what is right anyway and only do good for the USA!,Another Fake News story out there - It never ends! Virtually anytime I speak on the phone to a foreign leader I understand that there may be many people listening from various U.S. agencies not to mention those from the other country itself. No problem!,PRESIDENTIAL HARASSMENT!,Because of my Administration drug prices are down for the first time in almost 50 years — but the American people need Congress to help. I like Sen. Grassley’s drug pricing bill very much and it’s great to see Speaker Pelosi’s bill today. Let’s get it done in a bipartisan way!,Nice meeting with Mark Zuckerberg of @Facebook in the Oval Office today. https://t.co/k5ofQREfOc https://t.co/jNt93F2BsG,RT @mike_pence: https://t.co/2fwh9qgnHl,RT @realDonaldTrump: GREAT progress on the Border Wall! https://t.co/TvOYxgsBSv,Great news. @MariaBartiromo just renewed her deal with Fox. I don’t care how much they paid her they got a beautiful bargain. Congratulations to both!,RT @IvankaTrump: When youth engage in sports their life outcomes improve dramatically yet youth sports participation has ?? in the past de…,RT @Jim_Jordan: Oversight hearing on DC statehood. Dems’ planned map would carve out Trump Hotel.Is it because they want the tax revenue?…,RT @SteveHiltonx: 'when President Trump took office 1.9m more unemployed than job openings''now: 1.2m more job openings than unemployed'…,“The U.S. Economy is the envy of the world as Europe and Asia slide ever toward recession. But the Left is trying to avoid talking about the Trump Economy.” @IngrahamAngle  The Best Is Yet To Come.",3006.79
2019,9,"As Corey Lewandowski stated very clearly yesterday in front of the House Judiciary Committee President Trump didn’t do anything wrong or illegal. But they all know that. The Democrats are hurting our Country and getting nothing done. Shameful! @CLewandowski_  @foxandfriends,RT @KTHopkins: Trump’s OVERFLOW crowd is bigger than any audience Bernie or Biden will ever see. Stood outside at Rio Rancho to support t…,The Witch Hunt is the greatest political scam in U.S. history! #MAGA https://t.co/dKExRVOFJt,RT @Jim_Jordan: .@CLewandowski_ worked with the Trump campaign for nearly 2 years. He testified they did not collude or coordinate with Rus…,RT @MZHemingway: Guess who caught the New York Times' Kavanaugh authors in another huge error? This time in the Atlantic. Witnesses Defend…,RT @IngrahamAngle: Totally agree—a sign of weakness would be a trigger-happy reaction to the drone strike.  @realDonaldTrump’s right. https…,RT @IngrahamAngle: Which @nytimes editor deleted the salient fact that the alleged Kavanaugh victim neither recalled the incident nor agree…,RT @TeamTrump: .@KatrinaPierson: 30 Years Of GOP ‘Minority Outreach’ Failed — Until @realDonaldTrump Brought Real Resultshttps://t.co/quL…,RT @GOPChairwoman: To all the Democrats who demonize half the country...To all the Hollywood liberals who want us boycotted...It's beca…,RT @TeamTrump: Latinos for @realDonaldTrump were out in full force at the #TrumpRally in New Mexico last night!What a GREAT way to celebr…,RT @GOPChairwoman: Jerry Nadler is wasting more of America’s time by hauling @realDonaldTrump’s former campaign manager in to testify.Mue…,Thank you Corey! https://t.co/r62DmJ2vMw,Great! https://t.co/gApV8E14PW,RT @WhiteHouse: Thanks to President @realDonaldTrump’s historic tax reform legislation 879 Opportunity Zones will stimulate investment in…,RT @GOPChairwoman: Another record-breaking crowd in New Mexico!@realDonaldTrump expanded the map for Republicans in 2016 and he’s going…,RT @WhiteHouse: Wheels up to California where President @realDonaldTrump is delivering BIG results! ???? https://t.co/gTJL24ZTBW,RT @PressSec: Heading to sunny California today! Since President @realDonaldTrump’s election 870000 jobs have been ADDED and the unemploy…,RT @BillOReilly: Today at 1 pm (ET) you get a chance to get my new book The United States of Trump FREE. 5 interviews w President @realD…,RT @Jim_Jordan: This latest Kavanaugh “accusation” reminds me an awful lot of the Russia story.Democrats and the mainstream press come ou…,RT @RepMarkMeadows: Twitter friends: give a follow to the newest conservative member of Congress from North Carolina: @RepGregMurphy!,RT @MariaBartiromo: https://t.co/RC7kZDCN1i some sanity from @RepDougCollins @MorningsMaria @FoxBusiness,Dummy Beto made it much harder to make a deal. Convinced many that Dems just want to take your guns away. Will continue forward! https://t.co/87jvaYUkyn,RT @realDonaldTrump: The New York Times is now blaming an editor for the horrible mistake they made in trying to destroy or influence Justi…,RT @IvankaTrump: It secured the largest ever increase (from $2.9 to $5.3 billion) in the Child Care and Development Block Grant program as…,RT @IvankaTrump: Since Jan 2017 we’ve made enormous strides in implementing the President’s Working Family Agenda including doubling the…,RT @w_terrence: TRUMP DERANGEMENT SYNDROME Corey Lewandowski to Sheila Jackson Lee: Could you repeat the question? I didn't hear it. J…,IIhan Omar a member of AOC Plus 3 will win us the Great State of Minnesota. The new face of the Democrat Party! https://t.co/aQFEygSa4D,Terrence K. Williams “You can’t impeach Trump for being a winner!”,So nice that our Country is now Energy Independent. The USA is in better shape than ever before. Strongest Military by far biggest Economy (no longer even close) number one in Energy! MAGA = KAG!,I have just instructed the Secretary of the Treasury to substantially increase Sanctions on the country of Iran!,I am pleased to announce that I will name Robert C. O’Brien currently serving as the very successful Special Presidential Envoy for Hostage Affairs at the State Department as our new National Security Advisor. I have worked long &amp; hard with Robert. He will do a great job!,RT @GOPChairwoman: The RNC smashed another fundraising record last month.Between @realDonaldTrump's accomplishments and our grassroots in…,RT @greta: .@realDonaldTrump names new national security adviser: https://t.co/KiJaPAm1Ux,.... advantage and also due to the fact that older highly polluting cars will be replaced by new extremely environmentally friendly cars. There will be very little difference in emissions between the California Standard and the new U.S. Standard but the cars will be....,The Trump Administration is revoking California’s Federal Waiver on emissions in order to produce far less expensive cars for the consumer while at the same time making the cars substantially SAFER. This will lead to more production because of this pricing and safety......,The Trump Administration is revoking California’s Federal Waiver on emissions in order to produce far less expensive cars for the consumer while at the same time making the cars substantially SAFER. This will lead to more production because of this pricing and safety......,.... advantage and also due to the fact that older highly polluting cars will be replaced by new extremely environmentally friendly cars. There will be very little difference in emissions between the California Standard and the new U.S. Standard but the cars will be....,....far safer and much less expensive. Many more cars will be produced under the new and uniform standard meaning significantly more JOBS JOBS JOBS! Automakers should seize this opportunity because without this alternative to California you will be out of business.,Happy 72nd Birthday to our GREAT @USAirForce! #HBDUSAF https://t.co/wVj99MgmAS https://t.co/n3mznw9pd5,RT @StewardshipAmer: President @realDonaldTrump is the best president to happen for America since Abraham Lincoln. President Lincoln saved…,RT @StewardshipAmer: President @realDonaldTrump has delivered the lowest black unemployment ever; 8000+ urban revitalization enterprise zon…,Jay Powell and the Federal Reserve Fail Again. No “guts” no sense no vision!  A terrible communicator!,Thank you! https://t.co/hScbURTzMJ,All Polls and some brand new Polls show very little support for impeachment. Such a waste of time especially with sooo much good that could be done including prescription drug price reduction healthcare infrastructure etc.,GREAT progress on the Border Wall! https://t.co/TvOYxgsBSv",3006.73
2019,9,"....”That story (Kavanaugh) is nowhere near the standard that should be met in publishing a story.” @brithume @FoxNews,The New York Times is at its lowest point in its long and storied history. Not only is it losing a lot of money but it is a journalistic disaster being laughed at even in the most liberal of enclaves. It has become a very sad joke all all over the World. Witch Hunt hurt them...,Just departed New Mexico for California where we are delivering results! https://t.co/EKWzgjTXyd,RT @WhiteHouse: John Adams called the drafting of the Constitution—the bedrock of the rule of law for our Nation—the greatest single effor…,Such a beautiful Opening Statement by Corey Lewandowski! Thank you Corey! @CLewandowski_,The New York Times is now blaming an editor for the horrible mistake they made in trying to destroy or influence Justice Brett Kavanaugh. It wasn’t the editor the Times knew everything. They are sick and desperate losing in so many ways!,No Lindsey it was a sign of strength that some people just don’t understand! https://t.co/EU8AvfH7j9",3005.7
2019,9,"....work that way. I have a better idea. Look at the Obama Book Deal or the ridiculous Netflix deal. Then look at all the deals made by the Dems in Congress the “Congressional Slush Fund” and lastly the IG Reports. Take a look at them. Those investigations would be over FAST!,House Judiciary has given up on the Mueller Report sadly for them after two years and $40000000 spent - ZERO COLLUSION ZERO OBSTRUCTION. So they say OK lets look at everything else and all of the deals that “Trump” has done over his lifetime. But it doesn’t....,.....’These Conservative Judicial appointments will impact our nation for years to come’ said Lindsey Graham Republican of South Carolina who leads the Judiciary Committee and who has been speeding through Trump nominees.” The entire Court System is changing at a record pace!,The @nytimes. “This week the Senate passed a milestone in confirming the 150th Federal Judge of Mr. Trump’s Administration to a lifetime appointment far outstripping Barack Obama’s pace and fulfilling pledges by Mr. Trump and Mr. O’Connell to remake the Federal Judiciary....,Because we have done so well with Energy over the last few years (thank you Mr. President!) we are a net Energy Exporter &amp; now the Number One Energy Producer in the World. We don’t need Middle Eastern Oil &amp; Gas &amp; in fact have very few tankers there but will help our Allies!,Producer prices in China shrank most in 3 years due to China’s big devaluation of their currency coupled with monetary stimulus. Federal Reserve not watching? Will Fed ever get into the game? Dollar strongest EVER! Really bad for exports. No Inflation...Highest Interest Rates...,...The United States because of the Federal Reserve is paying a MUCH higher Interest Rate than other competing countries. They can’t believe how lucky they are that Jay Powell &amp; the Fed don’t have a clue. And now on top of it all the Oil hit. Big Interest Rate Drop Stimulus!,“The New York Times walks back report on Kavanaugh assault claim.” @foxandfriends  The one who is actually being assaulted is Justice Kavanaugh - Assaulted by lies and Fake News! This is all about the LameStream Media working with their partner the Dems.,“What’s happening to Justice Kavanaugh is a disgrace. This guy is not a good man he is a great man. He has to go to his church with his family while these terrible reports are being written about him a disgrace!” Dan Bongino @foxandfriends,Just Out: “Kavanaugh accuser doesn’t recall incident.” @foxandfriends  DO YOU BELIEVE WHAT THESE HORRIBLE PEOPLE WILL DO OR SAY. They are looking to destroy and influence his opinions - but played the game badly. They should be sued!,Remember when Iran shot down a drone saying knowingly that it was in their “airspace” when in fact it was nowhere close. They stuck strongly to that story knowing that it was a very big lie. Now they say that they had nothing to do with the attack on Saudi Arabia. We’ll see?,“Democrats would rather talk about gun control than get something done.” Governor John Sununu @FoxNews @BillHemmer The big questions are will they “move the goalposts” and is this just a ploy to TAKE YOUR GUNS AWAY? I hope NOT on both counts but I’ll be able to figure it out!,....for the privilege of being your President - and doing the best job that has been done in many decades. I am far beyond somebody paying for a hotel room for the evening or filling up a gas tank at an airport I do not own. These Radical Left Democrats are CRAZY! Obama Netflix?,They failed on the Mueller Report they failed on Robert Mueller’s testimony they failed on everything else so now the Democrats are trying to build a case that I enrich myself by being President. Good idea except I will and have always expected to lose BILLIONS of DOLLARS..,In a short while I will be presenting the New York @Yankees @MarianoRivera the greatest relief pitcher (Closer!) of all time with the Presidential Medal of Freedom in the East Room of the @WhiteHouse!,Big crowd expected in New Mexico tonight where we will WIN. Your Border Wall is getting stronger each and every day — see you in a few hours! https://t.co/uuG2gu0tTg,Thank you working hard! #KAG2020 https://t.co/CP32Vcx4he,This afternoon at the @WhiteHouse it was my great honor to present our nation’s highest civilian honor the Presidential Medal of Freedom to American baseball legend @MarianoRivera. Congratulations on this extraordinary achievement Mo! https://t.co/nzOeqFNb3C,RT @GovAbbott: The #USMCA is essential to the future of Texas America and our North American allies. Congress must pass this agreement an…,RT @GovBillLee: The USMCA is a 21st-century trade deal for a 21st-century market that will fuel economic growth right here in Tennessee cr…,RT @GovRicketts: It's time for Congress to seal the deal and pass #USMCANow! https://t.co/2FxLWoWW6F,Congratulations @MarianoRivera! https://t.co/ek4VGj0p0s,“How many stories are wrong? Almost all of the stories the New York Times has done are inaccurate and wrong.” @greggutfeld  The New York Times should close its doors and throw away the keys. The women mentioned in the Kavanaugh story said she didn’t even remember the event.,RT @WhiteHouse: Earlier: President @realDonaldTrump welcomed the Crown Prince of the Kingdom of Bahrain to the Oval Office! https://t.co/ZJ…,One my way to New Mexico — see you all shortly at the @StarCenter! #KAG2020 https://t.co/cW7EK6V229,I call for the Resignation of everybody at The New York Times involved in the Kavanaugh SMEAR story and while you’re at it the Russian Witch Hunt Hoax which is just as phony! They’ve taken the Old Grey Lady and broken her down destroyed her virtue and ruined her reputation...,...She can never recover and will never return to Greatness under current Management. The Times is DEAD long live The New York Times!,On my way to New Mexico — see you all shortly at the @StarCenter! #KAG2020 https://t.co/a9V3ULY8bY https://t.co/zRQfrVUVtY,KEEP AMERICA GREAT! https://t.co/oPWfjSGW22,RT @FLOTUS: Proud to recognize Mariano Rivera at the @WhiteHouse today to receive the Medal of Freedom.  We celebrate his incredible career…,RT @WhiteHouse: Business creation is thriving in New Mexico! https://t.co/AG0gAThYdT,RT @WhiteHouse: Oil production is up an incredible 110 percent—PLUS New Mexico's entire mining and logging sector has seen a 40 percent in…,Beautiful evening in New Mexico with Great American Patriots! https://t.co/S8eDG3dAq0,We are all united by the same love of Country the same devotion to family and the same profound faith that America is blessed by the eternal grace of ALMIGHTY GOD! Bound by these convictions we will campaign for every vote &amp; we will WIN the Great State of NEW MEXICO in 2020! https://t.co/BV5Wxs5GxE,If you want to stop the drug smugglers human traffickers and vicious MS-13 gang members from threatening our communities and poisoning our youth you have only one choice — you must elect more REPUBLICANS! #KAG2020 https://t.co/L4neBV2SEo",2997.96
