holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,Rush Hour,traffic_volume
None,288.28,0,0,40,Clouds,1,5545
None,289.36,0,0,75,Clouds,0,4516
None,289.58,0,0,90,Clouds,0,4767
None,290.13,0,0,90,Clouds,0,5026
None,291.14,0,0,75,Clouds,0,4918
None,291.72,0,0,1,Clear,0,5181
None,293.17,0,0,1,Clear,0,5584
None,293.86,0,0,1,Clear,0,6015
None,294.14,0,0,20,Clouds,1,5791
None,293.1,0,0,20,Clouds,1,4770
None,290.97,0,0,20,Clouds,1,3539
None,289.38,0,0,1,Clear,0,2784
None,288.61,0,0,1,Clear,0,2361
None,287.16,0,0,1,Clear,0,1529
None,285.45,0,0,1,Clear,0,963
None,284.63,0,0,1,Clear,0,506
None,283.47,0,0,1,Clear,0,321
None,281.18,0,0,1,Clear,0,273
None,281.09,0,0,1,Clear,0,367
None,279.53,0,0,1,Clear,0,814
None,278.62,0,0,1,Clear,0,2718
None,278.23,0,0,1,Clear,0,5673
None,278.12,0,0,1,Clear,1,6511
None,282.48,0,0,1,Clear,1,5471
None,291.97,0,0,1,Clear,0,5097
None,293.23,0,0,1,Clear,0,4887
None,294.31,0,0,1,Clear,0,5337
None,295.17,0,0,1,Clear,0,5692
None,295.13,0,0,1,Clear,0,6137
None,293.66,0,0,20,Clouds,1,4623
None,290.65,0,0,20,Clouds,1,3591
None,288.19,0,0,20,Clouds,0,2898
None,287.1,0,0,1,Clear,0,2637
None,286.25,0,0,1,Clear,0,1777
None,285.26,0,0,1,Clear,0,1015
None,284.55,0,0,1,Clear,0,598
None,283.47,0,0,1,Clear,0,369
None,283.17,0,0,1,Clear,0,312
None,282.04,0,0,1,Clear,0,367
None,281.69,0,0,1,Clear,0,835
None,281.32,0,0,1,Clear,0,2726
None,280.74,0,0,1,Clear,0,5689
None,280.57,0,0,1,Clear,1,6990
None,281.86,0,0,1,Clear,1,5985
None,284.98,0,0,1,Clear,1,5309
None,289.18,0,0,1,Clear,0,4603
None,291.55,0,0,1,Clear,0,4884
None,294.97,0,0,1,Clear,0,5104
None,296.38,0,0,1,Clear,0,5178
None,297.32,0,0,1,Clear,0,5501
